text;attention
I;0.02148142917565305
don't;0.02464631191499247
have;0.013809968230783894
access;0.015872377156118313
to;0.014264936342551302
specific;0.015817262937312525
event;0.021897479617675616
schedules;0.027941378084435316
and;0.01597812259644482
details.;0.02533357611425883
However,;0.02381790567783083
you;0.012857780007454774
can;0.013834336900398956
check;0.017479738034988472
online;0.020419645178515584
calendars;0.02348444197992231
or;0.01406549274235029
event;0.015421590378688505
websites;0.015184530713857019
for;0.01416362584448112
the;0.014778646074858917
29th;0.03480401842954168
to;0.014386855506297388
see;0.014387838476087024
if;0.013169249103942376
there;0.012831670388089451
are;0.01334667361854076
any;0.013460131237929445
events;0.017464596796647077
or;0.013044884892705076
activities;0.014533333764297099
that;0.012172879707312777
could;0.012391216081620257
impact;0.014190696835186286
your;0.014218761748401514
schedule.;0.019962640618645947
As;0.012978314388023895
for;0.015144521561230924
going;0.014679119134637354
to;0.01298372275366082
the;0.013037383247547924
store;0.023391616016475734
in;0.01397241951068699
town,;0.02326457530123483
it;0.012958922201102771
would;0.01233068630203169
depend;0.015873961425043204
on;0.013754813163550749
the;0.012908481131042933
timing;0.01659197978294737
and;0.012685239204486647
duration;0.013817950038738605
of;0.012436702094329505
your;0.014123305037603022
events,;0.01611527829965531
as;0.012263159262788852
well;0.012266505511463233
as;0.011963769131157164
the;0.012098307887946483
distance;0.014638844831052593
to;0.012318469686568937
the;0.012284106722331206
store.;0.012201823463844089
