text;attention
If;0.029294140459821552
your;0.019669535922260225
vision;0.059136535608269016
has;0.016535106511220525
deteriorated;0.0500347894429282
in;0.015310329672884659
such;0.015127649984664251
a;0.014528553527529225
way;0.01702675797490733
that;0.017536861503137536
you;0.015722118164117567
cannot;0.01717572484746219
effortlessly;0.020497776513426023
see;0.019637569591886755
objects;0.018906228330029633
and;0.01777239012095631
scenery;0.017244050784519495
that;0.016072646943660784
you;0.014851000654343777
used;0.01627796001104978
to;0.016520769249969206
be;0.014809579693444562
able;0.01475465256048048
to;0.014594778000278849
see;0.015546319788097063
well,;0.021544274098161138
you;0.016051358867955494
should;0.01529867515801099
visit;0.015584041560107929
an;0.01510214905013459
optometrist.;0.034992927668052544
One;0.016732876791710646
common;0.016733531569508298
trait;0.01739875254648675
shared;0.01605157030790321
amongst;0.01587398507500607
people;0.0151318189046256
who;0.015397189814063355
are;0.014603717770501214
in;0.014595673552480743
need;0.015114663168385391
of;0.014600688757517794
glasses,;0.01901645826851548
is;0.01607309074533156
squinting;0.021707741928771264
the;0.014732579387496388
eyes;0.015098323974668853
to;0.015486381596801279
try;0.014476502004269335
and;0.014642918098062651
see;0.014847870846585523
objects;0.014563099946895268
sharp;0.014584157629729012
and;0.01454336053679083
well.;0.014835794514125878
