number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;0.0;0.0;0.0;0.0;0.0;0.0;Could
1;0.0;0.0;0.0;0.0;0.0;0.0;you
2;0.5498;0.2104;2.0;0.05713810627396776;0.042100208099887945;0.06896551724137931;please
3;0.8408;0.3071;3.0;0.08738035604793033;0.061449495757963817;0.10344827586206896;refine
4;0.0;0.0;0.0;0.0;0.0;0.0;your
5;0.4045;0.259;2.0;0.042037766438377526;0.05182487594045142;0.06896551724137931;task
6;0.7607;0.3398;3.0;0.079055942965819;0.06799263646550344;0.10344827586206896;regarding
7;0.6951;0.4688;2.0;0.07223844610955801;0.09380502641267809;0.06896551724137931;the
8;0.0;0.0;0.0;0.0;0.0;0.0;question
9;0.3232;0.3232;1.0;0.03358864304791994;0.06467104210020809;0.034482758620689655;to
10;0.2266;0.2266;1.0;0.02354946322604783;0.045341764046742436;0.034482758620689655;which
11;0.5986;0.5986;1.0;0.062209658813381426;0.11977749319673443;0.034482758620689655;regard
12;1.6167;0.2427;5.0;0.16801596291946833;0.04856331038898671;0.1724137931034483;the
13;0.0;0.0;0.0;0.0;0.0;0.0;expression
14;1.2292;0.8249;2.0;0.12774492584932917;0.1650592284296462;0.06896551724137931;"""best"""
15;1.3747;0.3879;4.0;0.14286605073631045;0.07761725628301584;0.13793103448275862;should
16;0.469;0.2752;2.0;0.04874094551198778;0.0550664318873059;0.06896551724137931;be
17;0.5334;0.5334;1.0;0.05543373205990252;0.10673123099087561;0.034482758620689655;interpreted?
