text;attention
1.;0.05718977734581464
Make;0.017042106970754384
sure;0.017764273480850478
that;0.016818959548366885
said;0.01906169559326348
photo;0.023043752827656486
library;0.018435636352691832
contains;0.016679306636799594
everything;0.019937725332894413
it;0.016273190677625192
should,;0.023848734103947684
which;0.01689006000587028
means;0.016616766116029993
there;0.016026598336231605
are;0.01571121304625824
no;0.016371608197254483
photos;0.017668914792689578
scattered;0.017635983260501316
elsewhere.;0.02647795130556635
2.;0.04387436755093357
With;0.01655486367092845
a;0.015962595890961762
different;0.01686852527863334
group;0.017103417756200525
of;0.016378110548929962
photos;0.01995788094930169
than;0.017211073976446785
the;0.015845932065409796
main;0.016124897226385118
one,;0.02063522603108695
do;0.017485606696491744
a;0.0160904307315425
test;0.01885737636603597
of;0.01622697447126528
how;0.01617087927194141
you;0.016500748092185567
would;0.016158506786272783
do;0.016061339386760045
it,;0.019965146307656587
that;0.016247077171186664
way;0.016596118821636262
you;0.016518044257572917
make;0.015701473152729583
sure;0.016049734573587066
that;0.016204003110309183
the;0.015763031476316566
method;0.016277737747242314
you;0.015796938724708904
use;0.015956865653763454
will;0.015712351619568382
not;0.015719180722554172
corrupt;0.01642328291193786
any;0.015537188082301347
file.;0.015968818988148687
