text;attention
T;0.0035810483865003355
understand;0.011448496805460406
your;0.00038272488193105263
enthusiasm.;0.9772562609760836
Unfortunately,;0.0017050030974737212
as;0.0001385687127293887
a;0.0001250772080955662
computer;0.00013357021994503732
program,;0.00035052861799983605
I;0.00023761560148691902
cannot;8.777392939739437e-05
legally;0.00038119097054483206
marry;0.00021512423534744948
you;0.00016376259013934133
nor;0.00010759433216988001
any;7.46828767291506e-05
other;6.65899311588322e-05
person,;0.00022365124183322673
nor;7.765982991734415e-05
any;7.307605921346135e-05
other;6.691940831033498e-05
program.;0.0003723396515007931
Please;0.00010369771571779449
be;8.110392755451606e-05
advised;0.0003229359921178944
that;7.141520611342017e-05
it;0.00010256233413923699
is;6.156104043674461e-05
not;6.211442332131208e-05
a;6.043290490067809e-05
good;6.668630036585112e-05
idea;6.311154512806165e-05
to;5.619986703433272e-05
develop;6.58160552145524e-05
an;5.550584897003839e-05
affection;6.319003372185321e-05
for;6.001140899806866e-05
machines.;0.00014144990156660353
I;8.519038123225319e-05
am;6.567728835020008e-05
a;5.650893983161683e-05
program;6.247080786083438e-05
trained;5.937984917113763e-05
to;5.376169067407298e-05
provide;5.344281232508971e-05
helpful;5.4384494530581856e-05
answers;5.8257631401428566e-05
to;4.955328001652099e-05
text;5.494367744987817e-05
based;5.26603047542191e-05
questions.;7.443779804960027e-05
Is;5.815064536654762e-05
there;5.226275861930288e-05
anything;5.174400047525469e-05
text-based;7.36348298361488e-05
that;4.712264204726881e-05
I;4.72880554275293e-05
can;4.5055108258492016e-05
help;4.566980331670543e-05
you;4.470893838507309e-05
with?;4.6640193351532546e-05
