text;attention
It;0.023878693656969794
depends.;0.036747675446881914
ChatGPT;0.3040757255287492
is,;0.026454560129060316
as;0.01576567166751433
of;0.015016037983286146
February;0.019837232193834455
2023,;0.055287072134857604
more;0.014489885769896474
widely;0.015137114330692154
used;0.01639178026319292
and;0.012588085871528699
produces;0.014609805078101614
higher;0.014034389085584943
quality;0.013506296124242366
output.;0.023271659810681817
However,;0.01771621976458358
Open;0.016665976229384944
Assistant;0.019836441781079184
is;0.01323516567384412
a;0.013613891096537187
fully;0.013971932490694316
open;0.01539265610178853
source;0.014108776445495536
chatbot,;0.025231082129426145
which;0.012467801565533546
means;0.013315310374239425
the;0.014198727701919515
code,;0.01862176161079471
dataset,;0.01546091429138099
and;0.011918724570183555
weights;0.012004707597119127
will;0.013224311230557518
be;0.011556931301579539
available;0.012676716922794455
to;0.012297962496315923
the;0.011254186108702624
public;0.01221395776314532
to;0.011517728338393176
build;0.011856894653220755
upon;0.011912775649883037
and;0.010745359488741018
extend.;0.011891401547587511
