number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;0.0;0.0;0.0;0.0;0.0;0.0;Without
1;0.30725;0.1778;1.0;0.01555814365648024;0.013406119463755221;0.01639344262295082;more
2;0.15365;0.15365;0.5;0.007780337747170672;0.01158520953659162;0.00819672131147541;information
3;0.24265;0.24265;1.0;0.014653076335916518;0.019090335858572886;0.023348236462990564;about
4;0.1536;0.1536;0.5;0.007777805909309567;0.011581439536742417;0.00819672131147541;you
5;0.2104;0.2104;0.5;0.01505362496154314;0.017341564532214596;0.015151515151515152;and
6;0.12125;0.12125;0.5;0.006139706813175684;0.009142249634310014;0.00819672131147541;your
7;0.1859;0.1859;0.5;0.009413373167582348;0.014016859439325622;0.00819672131147541;goals,
8;0.0;0.0;0.0;0.0;0.0;0.0;it
9;0.1454;0.1454;0.5;0.007362584500088615;0.010963159561473618;0.00819672131147541;is
10;0.4367;0.4367;1.0;0.028370655691493447;0.03502847856960109;0.023348236462990564;impossible
11;0.2507;0.10515;1.0;0.01269463503557232;0.007928309682867611;0.01639344262295082;to
12;0.1052;0.1052;0.5;0.00752681248077157;0.008670782266107298;0.015151515151515152;say
13;0.27505;0.27505;0.5;0.019679180350154188;0.02267013937540696;0.015151515151515152;what
14;0.27505;0.27505;0.5;0.019679180350154188;0.02267013937540696;0.015151515151515152;the
15;0.39625;0.2022;1.0;0.020064815049244247;0.015245879390164823;0.01639344262295082;optimal
16;0.3073;0.14545;1.0;0.015560675494341343;0.010966929561322817;0.01639344262295082;calorie
17;1.3264999999999998;0.39615;3.0;0.07765646975675075;0.031403289073391134;0.06308991554893195;intake
18;0.33955;0.33955;1.0;0.020912712689435918;0.026850911698882998;0.023348236462990564;is.
19;0.5903;0.3477;2.0;0.03428739239671655;0.027692930834966586;0.03974167908594138;However,
20;0.0;0.0;0.0;0.0;0.0;0.0;the
21;0.9380999999999999;0.24265;2.5;0.0552843296387943;0.019262021012222103;0.05489319423745653;isocaloric
22;0.5096;0.5096;1.0;0.032740633671326055;0.04075299860478243;0.023348236462990564;intake
23;0.5418000000000001;0.40435;1.5;0.03267630962476193;0.032248024926172694;0.031544957774465976;for
24;0.0;0.0;0.0;0.0;0.0;0.0;an
25;0.1859;0.1859;0.5;0.009413373167582348;0.014016859439325622;0.00819672131147541;average
26;0.2346;0.2346;0.5;0.016785078022709225;0.019336174140957906;0.015151515151515152;height
27;0.6064;0.4286;1.5;0.0342567986901795;0.03350875523452595;0.031544957774465976;sedentary
28;0.2427;0.12145;1.0;0.012289540977795782;0.009157329633706815;0.01639344262295082;American
29;0.17785;0.17785;0.5;0.009005747271944704;0.013409889463604422;0.00819672131147541;male
30;0.0;0.0;0.0;0.0;0.0;0.0;in
31;0.3397;0.3397;1.0;0.020584688419585655;0.026749520401249824;0.023348236462990564;their
32;0.0;0.0;0.0;0.0;0.0;0.0;late
33;0.3236;0.1699;1.0;0.016386054637061043;0.012810459487581619;0.01639344262295082;thirties
34;0.0;0.0;0.0;0.0;0.0;0.0;should
35;0.3802;0.3802;1.0;0.023650700793353525;0.030144132925714075;0.023348236462990564;generally
36;0.1696;0.1696;0.5;0.008587994024862648;0.01278783948848642;0.00819672131147541;be
37;0.2912;0.2912;1.0;0.01677587111561432;0.02263830441496532;0.023348236462990564;no
38;0.1778;0.1778;0.5;0.012721171664269821;0.014654611092337238;0.015151515151515152;more
39;0.0;0.0;0.0;0.0;0.0;0.0;than
40;0.23465;0.23465;0.5;0.011881915082158138;0.017692609292295627;0.00819672131147541;2,400
41;0.16175;0.16175;0.5;0.011572831927422068;0.013331739843563263;0.015151515151515152;calories
42;0.12135;0.12135;0.5;0.006144770488897891;0.009149789634008414;0.00819672131147541;to
43;0.2831;0.2831;1.0;0.01754822420785816;0.02242465218740568;0.023348236462990564;maintain
44;0.09705;0.09705;0.5;0.00491429728840165;0.007317569707297211;0.00819672131147541;a
45;0.57425;0.4368;1.5;0.034998030774961914;0.03492261508335123;0.031544957774465976;healthy
46;0.0;0.0;0.0;0.0;0.0;0.0;BMI.
47;0.10505;0.10505;0.5;0.005319391346178191;0.007920769683169213;0.00819672131147541;This
48;0.0;0.0;0.0;0.0;0.0;0.0;can
49;0.6796;0.27525;1.5;0.04489746042080195;0.021435323368686778;0.038499751614505716;be
50;0.4367;0.4367;1.0;0.0253270756616644;0.03400644281853184;0.023348236462990564;influenced
51;0.3881;0.3881;1.0;0.023877170788959345;0.030681511234186713;0.023348236462990564;dramatically
52;0.2428;0.2428;0.5;0.017371768729385333;0.020012033595160187;0.015151515151515152;by
53;0.14565;0.14565;0.5;0.007375243689394131;0.010982009560719617;0.00819672131147541;exercise,
54;0.33975;0.33975;1.0;0.02380017849573761;0.027832203442334273;0.023348236462990564;starting
55;0.71175;0.44480000000000003;2.0;0.04246662842938824;0.03569574474095375;0.03974167908594138;weight,
56;0.18615;0.18615;0.5;0.013318594518019276;0.01534283382923834;0.015151515151515152;and
57;0.28305;0.28305;0.5;0.014332734131706206;0.021341969146321235;0.00819672131147541;goal
58;0.1619;0.1619;0.5;0.008198090994252727;0.012207259511709617;0.00819672131147541;weight,
59;0.5742499999999999;0.30755;2.0;0.03144945275323749;0.0239855511347532;0.03974167908594138;metabolism,
60;0.0;0.0;0.0;0.0;0.0;0.0;and
61;0.19395;0.19395;0.5;0.013876666165833138;0.015985724529577094;0.015151515151515152;other
62;0.0;0.0;0.0;0.0;0.0;0.0;factors.
