number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;0.0;0.0;0.0;0.0;0.0;0.0;Both
1;0.1212;0.1212;0.5;0.007757445419458899;0.010072301171777612;0.00909090909090909;ChatGPT
2;0.19395;0.19395;0.5;0.01241383283089153;0.01611817501869858;0.00909090909090909;and
3;0.1455;0.1455;0.5;0.009312774822865261;0.012091747693841935;0.00909090909090909;InstructGPT
4;0.0;0.0;0.0;0.0;0.0;0.0;are
5;0.28285;0.1051;1.0;0.018103906244999583;0.008734313969916065;0.01818181818181818;Transformer-based
6;0.1295;0.1295;0.5;0.0082886896189763;0.010762070971495057;0.00909090909090909;generative
7;0.15355;0.15355;0.5;0.006485306167270638;0.010838262489941698;0.006024096385542169;text
8;0.25070000000000003;0.25070000000000003;1.0;0.013407667850648076;0.019316922249781827;0.01511500547645126;models
9;0.2345;0.2345;1.0;0.012542760878604215;0.018069534256182657;0.01511500547645126;created
10;0.0;0.0;0.0;0.0;0.0;0.0;by
11;0.0;0.0;0.0;0.0;0.0;0.0;OpenAl.
12;0.5093;0.3315;1.5;0.025380224059567632;0.025624256743564864;0.02113910186199343;However,
13;0.1214;0.1214;0.5;0.005127425390469915;0.008568968194587575;0.006024096385542169;while
14;0.5338499999999999;0.25075;2.0;0.028535288192894605;0.01931919945749276;0.03023001095290252;ChatGPT
15;0.11315;0.11315;0.5;0.007242202551252265;0.009403307570846838;0.00909090909090909;was
16;0.0;0.0;0.0;0.0;0.0;0.0;released
17;0.1133;0.1133;0.5;0.0047853154591453164;0.007997233084405043;0.006024096385542169;in
18;0.2509;0.2509;1.0;0.013592448212590404;0.019432452896588206;0.01511500547645126;early
19;0.39625;0.1617;1.0;0.0167359333688114;0.011413526829199432;0.012048192771084338;2023,
20;0.47735;0.3318;1.5;0.024737211730704423;0.02605171305072051;0.02113910186199343;InstructGPT
21;0.0;0.0;0.0;0.0;0.0;0.0;is
22;0.0;0.0;0.0;0.0;0.0;0.0;a
23;0.5904;0.1131;2.0;0.024936012772104103;0.00798311616810424;0.024096385542168676;year
24;0.34750000000000003;0.34750000000000003;1.0;0.0187238942715806;0.026855649788816834;0.01511500547645126;older.
25;0.0;0.0;0.0;0.0;0.0;0.0;Both
26;0.0;0.0;0.0;0.0;0.0;0.0;models
27;0.1616;0.1616;0.5;0.010343260559278531;0.013429734895703482;0.00909090909090909;were
28;0.0;0.0;0.0;0.0;0.0;0.0;trained
29;0.22665000000000002;0.22665000000000002;1.0;0.012216652278590381;0.017518575344786794;0.01511500547645126;using
30;0.2588;0.2588;1.0;0.014098090282010579;0.02008898077824698;0.01511500547645126;Reinforcement
31;0.0971;0.0971;0.5;0.004101095596496119;0.00685376286403998;0.006024096385542169;Learning
32;0.0;0.0;0.0;0.0;0.0;0.0;with
33;0.32345;0.1293;1.0;0.013661167566289078;0.009126586388469303;0.012048192771084338;Human
34;0.15365;0.15365;0.5;0.006489529746669708;0.0108453209480921;0.006024096385542169;Feedback
35;0.3235;0.3235;1.0;0.018066167051780244;0.025366325325777997;0.01511500547645126;(RLHF)
36;0.1212;0.1212;0.5;0.005118978231671777;0.008554851278286773;0.006024096385542169;to
37;0.0;0.0;0.0;0.0;0.0;0.0;improve
38;0.0;0.0;0.0;0.0;0.0;0.0;their
39;0.2506;0.1211;1.0;0.010584289974067221;0.00854779282013637;0.012048192771084338;capabilities
40;0.0;0.0;0.0;0.0;0.0;0.0;in
41;0.53375;0.26685;2.0;0.025185087660006423;0.020354823499883982;0.027163198247535596;specific
42;0.2505;0.2505;1.0;0.013218533582455276;0.019198887560246916;0.01511500547645126;task
43;0.0;0.0;0.0;0.0;0.0;0.0;categories.
44;0.55805;0.27495;1.5;0.03325603776724683;0.021433627262594394;0.024205914567360348;InstructGPT
45;0.08095;0.08095;0.5;0.005181231078425725;0.006727333167123743;0.00909090909090909;was
46;0.5016;0.2913;2.0;0.02523787250835921;0.022891926361701787;0.027163198247535596;trained
47;0.13755;0.13755;0.5;0.005809533463419579;0.009708909185877438;0.006024096385542169;to
48;0.5743;0.3076;2.0;0.026549436606291048;0.023030821777890023;0.027163198247535596;follow
49;0.31545;0.1051;1.5;0.020190479847923347;0.008734313969916065;0.02727272727272727;instructions
50;0.47715;0.2669;1.0;0.02015280910265832;0.018839024803421943;0.012048192771084338;provided
51;0.2831;0.1617;1.0;0.011956953278764688;0.011413526829199432;0.012048192771084338;by
52;0.26695;0.1293;1.0;0.011274845205815025;0.009126586388469303;0.012048192771084338;the
53;0.2263;0.11315;1.0;0.009557960180093425;0.007986645397179441;0.012048192771084338;user,
54;0.12125;0.12125;0.5;0.005121090021371312;0.008558380507361973;0.006024096385542169;and
55;0.59845;0.41255;1.5;0.030383142945534933;0.03205691122005082;0.02113910186199343;served
56;0.3637;0.2345;1.5;0.017999625462201522;0.018069534256182657;0.02113910186199343;as
57;0.4768;0.12125;1.5;0.02013802657476158;0.008558380507361973;0.018072289156626505;a
58;0.94615;0.27505;3.5;0.05193246171997022;0.021338645979557085;0.05443592552026287;predecessor
59;0.1293;0.1293;0.5;0.005461088162996376;0.009126586388469303;0.006024096385542169;to
60;0.1698;0.1698;0.5;0.010868104226271626;0.014111194215906259;0.00909090909090909;ChatGPT.
61;0.21025;0.21025;1.0;0.010639053811734245;0.015852041523546648;0.01511500547645126;ChatGPT
62;0.42074999999999996;0.29925;1.5;0.02411435172852366;0.02324962031296543;0.024205914567360348;was
63;0.27494999999999997;0.27494999999999997;1.0;0.013546954409513538;0.02051965166667994;0.01511500547645126;trained
64;0.0;0.0;0.0;0.0;0.0;0.0;to
65;0.0;0.0;0.0;0.0;0.0;0.0;be
66;0.0;0.0;0.0;0.0;0.0;0.0;a
67;0.0;0.0;0.0;0.0;0.0;0.0;More
68;0.29925;0.29925;1.0;0.015280793969189327;0.02264176394061411;0.01511500547645126;general
69;0.15355;0.15355;0.5;0.009828017691071897;0.012760741294772709;0.00909090909090909;chatbot
70;0.12945;0.12945;0.5;0.00546742353209498;0.009137174075694907;0.006024096385542169;with
71;0.0;0.0;0.0;0.0;0.0;0.0;a
72;0.0;0.0;0.0;0.0;0.0;0.0;wider
73;0.13745;0.13745;0.5;0.005805309884020509;0.009701850727727035;0.006024096385542169;range
74;0.0;0.0;0.0;0.0;0.0;0.0;of
75;0.33135;0.2343;1.5;0.017864364518924127;0.018763435421374486;0.02113910186199343;capabilities,
76;0.18605;0.18605;0.5;0.011908190761471354;0.015461647137039807;0.00909090909090909;ranging
77;0.1617;0.1617;0.5;0.006829527888294772;0.011413526829199432;0.006024096385542169;from
78;0.1374;0.1374;0.5;0.0058031980943209745;0.009698321498651834;0.006024096385542169;following
79;0.09715;0.09715;0.5;0.006218117347363301;0.00807363084849996;0.00909090909090909;instructions
80;0.0;0.0;0.0;0.0;0.0;0.0;to
81;0.16175;0.16175;0.5;0.010352861358064992;0.013442200614975485;0.00909090909090909;do
82;0.38015;0.2589;1.5;0.021514647047092793;0.01989571581811476;0.024205914567360348;tasks
83;0.0;0.0;0.0;0.0;0.0;0.0;to
84;0.06455;0.06455;0.5;0.0041315437444395375;0.005364414526718191;0.00909090909090909;answering
85;0.47719999999999996;0.35575;1.5;0.02719954120562446;0.027641426057918254;0.024205914567360348;questions,
86;0.9944500000000001;0.3396;3.0;0.048336318928482266;0.026197243875111666;0.04227820372398686;holding
87;0.5496;0.40440000000000004;2.0;0.02796399257311343;0.029962944965937977;0.03023001095290252;conversations,
88;0.42065;0.11325;1.5;0.017766486742184267;0.007993703855329843;0.018072289156626505;and
89;0.1697;0.1697;0.5;0.0071674142402203015;0.01197820348123156;0.006024096385542169;telling
90;0.0;0.0;0.0;0.0;0.0;0.0;jokes.
