;number;text;x1;y1;x2;y2
0;0;I;35;305;45;323
1;1;would;63;304;136;323
2;2;recommend;157;304;286;323
3;3;you;304;309;345;328
4;4;The;363;304;406;323
5;5;Witcher;423;304;526;323
6;6;books;545;304;615;323
7;7;series;635;304;720;323
8;8;from;740;305;797;323
9;9;Andrzej;813;304;912;328
10;10;Sapkowski,,;934;304;1077;328
11;11;which;1098;304;1170;323
12;12;has;1190;304;1230;323
13;13;medieval;47;403;164;422
14;14;Like;183;403;240;422
15;15;fantasy;259;404;360;427
16;16;world,,;377;403;461;425
17;17;in;484;403;509;422
18;18;a;529;408;540;422
19;19;post,-,apocalyptic;559;403;795;427
20;20;world;812;403;885;422
21;21;that;904;403;959;422
22;22;occurred;978;403;1095;422
23;23;after;1114;404;1185;422
24;24;a;1204;408;1215;422
25;25;fictional;34;502;163;521
26;26;event;183;504;254;521
27;27;of;273;503;299;521
28;28;clash;318;502;389;521
29;29;of;408;503;434;521
30;30;spheres,,;454;502;565;526
31;31;that;588;502;644;521
32;32;resulted;666;502;779;521
33;33;monsters;797;504;914;521
34;34;from;934;503;990;521
35;35;other;1008;502;1079;521
36;36;realms;1101;502;1184;521
37;37;to;1203;504;1229;521
38;38;come;34;606;90;620
39;39;to;109;603;135;620
40;40;the;154;601;195;620
41;41;main;212;601;269;620
42;42;world,,;287;601;371;623
43;43;the;394;601;435;620
44;44;characterisations;454;601;704;620
45;45;are;724;606;765;620
46;46;particularly;784;601;960;625
47;47;strong;979;603;1065;625
48;48;and;1084;601;1125;620
49;49;it;1144;601;1169;620
50;50;has;1189;601;1229;620
51;51;detailed;536;700;653;719
52;52;lore,.;671;700;739;719
