;number;text;x1;y1;x2;y2
0;0;Sure,,;48;256;115;277
1;1;here;138;255;194;274
2;2;is;214;255;239;274
3;3;the;258;255;299;274
4;4;code,:;318;255;385;274
5;5;function;409;255;524;274
6;6;GetCurrentDate,(,);542;255;777;279
7;7;{;800;255;807;279
8;8;const;828;256;899;274
9;9;months;917;255;1004;274
10;10;=;1022;262;1035;270
11;11;"[,"",January,"",,";1056;255;1210;279
12;12;""",February,"",,";71;354;226;378
13;13;""",March,"",,";251;354;361;376
14;14;""",April,"",,";386;354;496;378
15;15;""",May,"",,";521;355;601;378
16;16;""",June,"",,";626;355;721;376
17;17;""",July,"",,";746;354;841;378
18;18;""",August,"",,";866;355;991;378
19;19;""",September,"",,";1016;354;1186;378
20;20;""",October,"",,";80;453;220;475
21;21;""",November,"",,";245;453;400;475
22;22;""",December,"",],;";425;453;595;477
23;23;const;618;454;689;472
24;24;date;707;453;764;472
25;25;=;782;460;795;468
26;26;new;813;458;856;472
27;27;"Date,(,),;";873;453;970;477
28;28;const;993;454;1064;472
29;29;month;1082;453;1154;472
30;30;=;1172;460;1185;468
31;31;"months[date.getMonth,(,),],;";145;552;499;576
32;32;const;522;553;592;571
33;33;day;611;552;653;576
34;34;=;671;559;683;567
35;35;"date.getDate,(,),;";701;552;919;576
36;36;const;942;553;1012;571
37;37;year;1031;557;1088;576
38;38;=;1106;559;1118;567
39;39;"date.getFullYear,(,),;";25;651;303;675
40;40;return;329;652;412;670
41;41;“,$,{,month,};434;651;560;675
42;42;$,{,day,},,;581;651;678;675
43;43;"$,{,year,},*,>,;";701;651;828;675
44;44;};853;651;860;675
45;45;This;880;651;937;670
46;46;returns;959;652;1057;670
47;47;the;1076;651;1117;670
48;48;current;1136;652;1237;670
49;49;date,,;386;750;454;772
50;50;in;477;750;502;769
51;51;the;522;750;563;769
52;52;format;582;751;667;769
53;53;you;686;755;727;774
54;54;requested,.;749;750;889;774
