;number;text;x1;y1;x2;y2
0;0;Yes,,;48;256;102;277
1;1;adding;125;255;211;279
2;2;a;230;260;241;274
3;3;USB;260;256;301;274
4;4;GPS;319;256;361;274
5;5;dongle;379;255;466;279
6;6;to;485;256;511;274
7;7;a;530;260;541;274
8;8;Microsoft;559;255;690;274
9;9;Surface;709;256;811;274
10;10;tablet;830;255;915;274
11;11;should;935;255;1021;274
12;12;allow;1040;255;1112;274
13;13;Google;1129;255;1216;279
14;14;Maps;56;355;113;378
15;15;to;132;355;158;373
16;16;use;177;359;218;373
17;17;your;237;359;293;378
18;18;location;312;354;428;373
19;19;for;448;355;488;373
20;20;navigation;507;354;653;378
21;21;purposes,.;672;359;799;378
22;22;However,,;822;355;934;376
23;23;it,'s;958;354;1013;373
24;24;important;1033;354;1163;378
25;25;to;1182;355;1208;373
26;26;make;25;453;83;472
27;27;sure;102;458;158;472
28;28;that;177;453;232;472
29;29;the;252;453;293;472
30;30;GPS;311;454;353;472
31;31;dongle;371;453;458;477
32;32;is;477;453;502;472
33;33;compatible;522;453;668;477
34;34;with;685;453;742;472
35;35;the;762;453;803;472
36;36;Microsoft;821;453;952;472
37;37;Surface;971;454;1073;472
38;38;tablet;1092;453;1177;472
39;39;and;1197;453;1238;472
40;40;that;79;552;135;571
41;41;you;154;557;195;576
42;42;have;214;552;270;571
43;43;an;289;557;315;571
44;44;internet;335;552;450;571
45;45;connection;469;552;615;571
46;46;for;635;553;675;571
47;47;Google;693;552;780;576
48;48;Maps;798;553;855;576
49;49;to;874;553;900;571
50;50;function;920;552;1035;571
51;51;properly,.;1054;552;1181;576
52;52;Additionally,,;93;651;281;675
53;53;it,'s;305;651;360;670
54;54;a;379;656;390;670
55;55;good;408;651;465;675
56;56;idea;485;651;540;670
57;57;to;559;652;585;670
58;58;verify;603;651;690;675
59;59;that;709;651;765;670
60;60;the;784;651;825;670
61;61;GPS;843;652;886;670
62;62;dongle;903;651;990;675
63;63;is;1010;651;1035;670
64;64;properly;1054;651;1170;675
65;65;configured;237;750;383;774
66;66;and;402;750;443;769
67;67;working;460;750;563;774
68;68;before;582;750;668;769
69;69;using;687;750;758;774
70;70;it;777;750;802;769
71;71;for;822;751;863;769
72;72;navigation,.;882;750;1039;774
