;number;text;x1;y1;x2;y2
0;0;Lots;49;157;104;175
1;1;of;123;157;149;175
2;2;literature;168;156;314;175
3;3;out;333;157;374;175
4;4;these;393;156;464;175
5;5;days,,;482;156;550;180
6;6;e.g.,:;573;159;640;180
7;7;Ackerman,,;662;156;790;178
8;8;E.;813;157;835;175
9;9;(,2021,),.;860;156;955;180
10;10;2034,.;978;157;1045;175
11;11;Box,,;1068;157;1120;178
12;12;C.;1142;157;1165;175
13;13;J.;1188;157;1210;175
14;14;(,2021,),.;50;255;145;279
15;15;Dark;167;255;224;274
16;16;Sky,.;242;255;295;279
17;17;Divya,,;317;255;400;279
18;18;S.;422;256;445;274
19;19;B.;468;256;490;274
20;20;(,2021,),.;515;255;610;279
21;21;Machinehood,.;632;255;805;274
22;22;Gibson,,;827;255;925;277
23;23;W.;946;256;970;274
24;24;(,2020,),.;995;255;1090;279
25;25;Agency,.;1111;256;1210;279
26;26;Jordan,,;70;354;167;376
27;27;Z.;189;355;212;373
28;28;(,2020,),.;237;354;332;378
29;29;The;354;354;396;373
30;30;Last;416;355;471;373
31;31;Human,.;490;355;572;373
32;32;King,,;595;354;662;378
33;33;S.;685;355;707;373
34;34;(,2022,),.;732;354;827;378
35;35;Fairy;851;354;921;378
36;36;Tale,.;939;354;1007;373
37;37;Martine,,;1029;354;1142;376
38;38;A.;1164;355;1187;373
39;39;(,2021,),.;80;453;175;477
40;40;A;196;454;210;472
41;41;Desolation;227;453;373;472
42;42;Called;392;453;479;472
43;43;Peace,.;497;454;580;472
44;44;Perry,,;602;454;685;477
45;45;S.;707;454;730;472
46;46;D.;752;454;775;472
47;47;(,2012,),.;800;453;895;477
48;48;Resident;917;453;1033;472
49;49;Evil,:;1053;453;1120;472
50;50;The;1141;453;1184;472
51;51;Umbrella;33;552;149;571
52;52;Conspiracy,.;167;552;325;576
53;53;Saunders,,;347;552;475;574
54;54;G.;497;553;520;571
55;55;(,2022,),.;545;552;640;576
56;56;Liberation;663;552;808;571
57;57;Day;827;553;869;576
58;58;stories,.;888;552;1000;571
59;59;Stephenson,,;1022;552;1180;576
60;60;N.;1202;553;1225;571
61;61;(,2021,),.;35;651;130;675
62;62;Termination;152;651;314;670
63;63;Shock,.;333;651;415;670
64;64;Stross,,;438;652;535;673
65;65;C.;557;652;580;670
66;66;(,2022,),.;605;651;700;675
67;67;Quantum;722;652;825;671
68;68;of;843;652;869;670
69;69;Nightmares,.;888;651;1045;675
70;70;Tarrantino,,;1067;651;1225;673
71;71;Q.;64;751;87;770
72;72;(,2021,);112;750;194;774
73;73;Once;214;751;271;769
74;74;Upon;290;751;346;774
75;75;a;365;755;376;769
76;76;Time;394;750;451;769
77;77;in;471;750;496;769
78;78;Hollywood,.;515;750;657;774
79;79;Weir,,;678;750;747;772
80;80;A.;769;751;792;769
81;81;(,2021,),.;817;750;912;774
82;82;Project;935;750;1036;774
83;83;Hail;1055;750;1110;769
84;84;Mary,.;1129;751;1197;774
85;85;Winslow,,;393;849;507;871
86;86;D.;530;850;552;868
87;87;(,2021,),.;577;849;672;873
88;88;City;694;849;751;873
89;89;on;770;854;796;868
90;90;Fire,.;816;849;882;868
