;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil
0;0;The;49;354;91;373;[];0.0;0;;;363.5;;1;546.3379391131521;;
1;1;consumption;110;354;271;378;[2029, 2030];0.5181;2;13.8164;16.5288;366.0;2.5;1;372.11253743243634;0.259;15.17
2;2;per;290;359;331;378;[];0.0;0;;;368.5;2.5;1;316.14694765948053;;
3;3;person;350;359;436;378;[2031];0.372;1;14.6792;16.2369;368.5;0.0;1;223.30675877457531;0.372;15.46
4;4;per;455;359;496;378;[];0.0;0;;;368.5;0.0;1;176.48529829537182;;
5;5;year;515;359;571;378;[2032, 2033];1.2778;2;14.8058;16.893;368.5;0.0;1;133.69181169543026;0.6389;15.85
6;6;varies;589;354;676;373;[];0.0;0;;;363.5;5.0;1;128.58592;;
7;7;by;695;354;721;378;[2034];0.2585;1;14.8904;17.0399;366.0;2.5;1;143.54052150666868;0.2585;15.97
8;8;country,.;740;355;852;378;[2035];0.2911;1;14.2446;16.708;366.5;0.5;1;170.87932968737448;0.2911;15.48
9;9;In;876;355;901;373;[];0.0;0;;;364.0;2.5;1;284.70197701176306;;
10;10;the;920;354;961;373;[2036];0.3235;1;14.2544;16.2283;363.5;0.5;1;324.5674976247721;0.3235;15.24
11;11;Unites;980;354;1066;373;[];0.0;0;;;363.5;0.0;1;380.40138342861803;;
12;12;states;1086;355;1171;373;[2037, 2038];0.2907;2;12.7603;14.5728;364.0;0.5;1;481.49688235169964;0.1453;13.67
13;13;it;1191;354;1216;373;[];0.0;0;;;363.5;0.5;1;583.3577493394654;;
14;14;was;32;458;75;472;[];0.0;0;;;465.0;101.5;2;547.7899454666964;;
15;15;0.23,kg;94;453;181;477;[2039, 2040];0.7762;2;13.4674;13.006;465.0;0.0;2;441.6752204441702;0.3881;13.24
16;16;per;199;458;240;477;[2041];0.4529;1;13.5176;15.7973;467.5;2.5;2;382.78078994955627;0.4529;14.66
17;17;year;259;458;315;477;[2042];0.3717;1;11.7324;14.6664;467.5;0.0;2;307.97333188834114;0.3717;13.2
18;18;in;335;453;360;472;[];0.0;0;;;462.5;5.0;2;263.6556397166697;;
19;19;2016;379;454;435;472;[2043];0.5497;1;12.1483;14.2157;463.0;0.5;2;189.31649784000962;0.5497;13.18
20;20;according;454;453;586;477;[2044];0.3231;1;13.2806;14.696;465.0;2.0;2;43.586423969011186;0.3231;13.99
21;21;to;604;454;630;472;[2061];0.2427;1;14.5512;16.6857;463.0;2.0;2;29.585919999999987;0.2427;15.62
22;22;Wikipeda,.;647;453;776;477;[2045];0.4689;1;14.2878;15.8123;465.0;2.0;2;35.07060812712554;0.4689;15.05
23;23;If;800;454;825;472;[];0.0;0;;;463.0;2.0;2;180.45150139138892;;
24;24;you;844;458;885;477;[2046];0.3557;1;14.1489;15.5632;467.5;4.5;2;223.36680584725755;0.3557;14.86
25;25;are;904;458;945;472;[];0.0;0;;;465.0;2.5;2;283.5572978330948;;
26;26;feeling;965;453;1066;477;[2047];0.3557;1;13.9781;15.9286;465.0;0.0;2;343.88959442589487;0.3557;14.95
27;27;unwell;1084;453;1169;472;[2048];0.3234;1;9.163;14.0889;462.5;2.5;2;462.95593435488706;0.3234;11.63
28;28;you;1189;458;1230;477;[];0.0;0;;;467.5;5.0;2;567.5423807561921;;
29;29;should;71;552;157;571;[];0.0;0;;;561.5;94.0;3;467.7153531309468;;
30;30;see;176;557;217;571;[2049];0.2587;1;14.7164;16.679;564.0;2.5;3;408.7639225205746;0.2587;15.7
31;31;a;236;557;247;571;[2050];0.3882;1;13.0318;15.6771;564.0;0.0;3;379.06268657625264;0.3882;14.35
32;32;doctor,.;265;552;363;571;[];0.0;0;;;561.5;2.5;3;263.851486170547;;
33;33;An;384;553;411;571;[];0.0;0;;;562.0;0.5;3;217.16435369186712;;
34;34;digital;430;552;531;576;[2051, 2052];0.5823;2;12.4528;15.6715;564.0;2.0;3;104.02322987874577;0.2911;14.06
35;35;assistant;551;552;681;571;[2053];0.2427;1;13.4166;15.403;561.5;2.5;3;50.41408000000001;0.2427;14.41
36;36;can,not;701;553;786;571;[2054];0.259;1;14.065;16.0321;562.0;0.5;3;94.26518187754381;0.259;15.05
37;37;give;805;552;862;576;[];0.0;0;;;564.0;2.0;3;189.82648169948902;;
38;38;you;880;557;921;576;[2055];0.2428;1;13.7449;15.2915;566.5;2.5;3;263.8933003211837;0.2428;14.52
39;39;competent;941;553;1071;576;[2056, 2057, 2058, 2059];1.6824;4;12.2102;15.5352;564.5;2.0;3;323.1261866738852;0.4206;13.87
40;40;medical;1089;552;1191;571;[];0.0;0;;;561.5;3.0;3;469.72283950688035;;
41;41;advice,.;589;651;686;670;[2060];0.4209;1;6.5724;8.7712;660.5;99.0;4;149.41408;0.4209;7.67
