;number;text;x1;y1;x2;y2
0;0;The;101;255;143;274
1;1;Kernel;162;255;247;274
2;2;Trick,,;266;255;349;277
3;3;in;373;255;398;274
4;4;the;417;255;458;274
5;5;context;477;256;578;274
6;6;of;597;256;623;274
7;7;Support;642;256;743;279
8;8;Vector;761;256;848;274
9;9;Machines;866;255;983;274
10;10;(,SVM,),,;1004;255;1084;279
11;11;is;1108;255;1133;274
12;12;a;1152;260;1163;274
13;13;mathematical;78;354;254;373
14;14;technique;274;354;405;378
15;15;that;424;354;480;373
16;16;allows;499;354;585;373
17;17;us;604;359;630;373
18;18;to;649;355;675;373
19;19;transform;694;355;826;373
20;20;a;844;359;855;373
21;21;linear;874;354;960;373
22;22;classification;979;354;1185;373
23;23;problem;71;453;173;477
24;24;into;192;453;247;472
25;25;a;266;458;277;472
26;26;high,-,dimensional;296;453;531;477
27;27;nonlinear;551;453;682;472
28;28;space,,;702;458;783;477
29;29;where;804;453;877;472
30;30;the;896;453;937;472
31;31;separator;957;454;1087;477
32;32;can;1106;458;1147;472
33;33;be;1166;453;1192;472
34;34;calculated;42;552;188;571
35;35;more;206;557;263;571
36;36;easily,.;282;552;379;576
37;37;This;401;552;458;571
38;38;is;478;552;503;571
39;39;achieved;522;552;638;571
40;40;by;657;552;683;576
41;41;defining;701;552;819;576
42;42;a;837;557;848;571
43;43;function;868;552;983;571
44;44;called;1002;552;1088;571
45;45;a;1107;557;1118;571
46;46;kernel;1138;552;1222;571
47;47;which;77;651;150;670
48;48;maps;168;656;225;675
49;49;the;244;651;285;670
50;50;input;305;651;375;675
51;51;data;393;651;450;670
52;52;into;470;651;525;670
53;53;a;544;656;555;670
54;54;higher,-,dimensional;574;651;839;675
55;55;space,,;860;656;941;675
56;56;where;962;651;1035;670
57;57;it;1055;651;1080;670
58;58;can;1099;656;1140;670
59;59;be;1159;651;1185;670
60;60;separated;379;750;510;774
61;61;using;529;750;600;774
62;62;a;619;755;630;769
63;63;linear;648;750;735;769
64;64;separator,.;754;751;896;774
