;number;text;x1;y1;x2;y2
0;0;The;32;205;75;224
1;1;primary;94;205;195;229
2;2;Language;213;205;330;229
3;3;spoken;349;205;434;229
4;4;in;454;205;479;224
5;5;Costa;498;206;570;224
6;6;Rica;588;205;645;224
7;7;is;664;205;689;224
8;8;Spanish,,;708;205;821;229
9;9;with;842;205;899;224
10;10;some;919;210;975;224
11;11;Central;993;205;1094;224
12;12;American;1112;205;1229;224
13;13;features;18;305;133;323
14;14;specific;153;304;269;328
15;15;to;288;306;314;323
16;16;the;333;304;374;323
17;17;country,.;393;306;505;328
18;18;Costa;527;305;599;323
19;19;Rica;617;304;674;323
20;20;is;693;304;718;323
21;21;home;738;304;794;323
22;22;to;813;306;839;323
23;23;at;858;306;883;323
24;24;least;902;304;973;323
25;25;five;993;304;1049;323
26;26;living;1067;304;1154;328
27;27;local;1172;304;1243;323
28;28;indigenous;34;403;179;427
29;29;languages;198;403;329;427
30;30;spoken;349;403;434;427
31;31;by;453;403;480;427
32;32;the;498;403;539;422
33;33;descendants;558;403;719;422
34;34;of;738;404;764;422
35;35;pre,-,Columbian;783;403;974;427
36;36;peoples,:;993;403;1105;427
37;37;Maléku,,;1127;403;1225;426
38;38;Cabécar,,;70;502;183;525
39;39;Bribri,,;206;502;303;525
40;40;Guaymi,,;325;502;423;526
41;41;and;446;502;487;521
42;42;Buglere,.;506;502;618;526
43;43;Some;641;503;697;521
44;44;Afro,-,Carib;714;502;863;521
45;45;immigrants;882;502;1027;526
46;46;also;1046;502;1102;521
47;47;speak;1122;502;1193;526
48;48;Jamaican;64;601;179;620
49;49;patois;199;601;284;625
50;50;(,or;306;601;345;625
51;51;Mekatelyu,),,;363;601;521;625
52;52;a;544;606;555;620
53;53;Creole,-,English;573;601;779;625
54;54;language,.;798;601;926;625
55;55;In;949;602;974;620
56;56;addition,,;994;601;1121;623
57;57;many;1142;606;1200;625
58;58;Costa;26;701;98;719
59;59;Rican;116;700;187;719
60;60;adults;207;700;292;719
61;61;speak;312;700;383;724
62;62;a;402;705;413;719
63;63;second;432;700;518;719
64;64;language;536;700;653;724
65;65;such;672;700;727;719
66;66;as;747;705;772;719
67;67;English,,;792;700;904;724
68;68;French,,;927;700;1024;722
69;69;Portuguese;1046;701;1193;724
70;70;or;1211;705;1238;719
71;71;German,.;589;800;687;818
