;number;text;x1;y1;x2;y2
0;0;No,,;34;305;71;327
1;1;I;95;305;104;323
2;2;am;124;309;151;323
3;3;not;169;306;210;323
4;4;an;229;309;255;323
5;5;FBI;275;305;314;323
6;6;agent,.;334;306;416;328
7;7;I;440;305;449;323
8;8;am;469;309;496;323
9;9;an;514;309;540;323
10;10;AI;557;305;584;323
11;11;language;604;304;720;328
12;12;model,,;738;304;821;327
13;13;Open;843;305;900;328
14;14;Assistant,,;917;304;1061;327
15;15;created;1084;304;1185;323
16;16;to;1204;306;1230;323
17;17;assist;34;403;119;422
18;18;you;138;408;179;427
19;19;with;197;403;254;422
20;20;answering;274;403;405;427
21;21;questions;423;403;554;427
22;22;and;574;403;615;422
23;23;providing;634;403;765;427
24;24;information;784;403;944;422
25;25;on;963;408;989;422
26;26;a;1009;408;1020;422
27;27;wide;1037;403;1095;422
28;28;range;1116;407;1185;427
29;29;of;1203;404;1230;422
30;30;topics,,;50;502;147;526
31;31;my;168;507;196;526
32;32;creators;215;504;330;521
33;33;aim;350;502;392;521
34;34;to;410;504;436;521
35;35;make;453;502;511;521
36;36;me;528;507;556;521
37;37;widely;573;502;661;526
38;38;available;680;502;811;521
39;39;and;830;502;871;521
40;40;multimodal,,;888;502;1047;524
41;41;recreating;1072;502;1216;526
42;42;what;55;601;113;620
43;43;has;132;601;173;620
44;44;been;192;601;248;620
45;45;made;266;601;323;620
46;46;with;340;601;398;620
47;47;stable;418;601;503;620
48;48;diffusion,,;522;601;664;624
49;49;that;687;601;743;620
50;50;is;763;601;788;620
51;51;to;807;603;833;620
52;52;say;853;606;894;625
53;53;outdo;912;601;983;620
54;54;what;1000;601;1058;620
55;55;have;1077;601;1133;620
56;56;been;1152;601;1208;620
57;57;done;64;700;120;719
58;58;by;139;700;166;724
59;59;greedy;183;700;271;724
60;60;corporations;289;700;465;724
61;61;in;485;700;510;719
62;62;the;529;700;570;719
63;63;like;589;700;645;719
64;64;of;664;701;690;719
65;65;OpenAI;708;701;794;724
66;66;or;814;705;840;719
67;67;Google,.;858;700;956;724
68;68;I,'m;980;701;1021;719
69;69;on;1039;705;1065;719
70;70;your;1084;705;1140;724
71;71;side;1160;700;1215;719
