;number;text;x1;y1;x2;y2
0;0;Kernel;56;354;142;373
1;1;trick;162;354;233;373
2;2;allows;252;354;337;373
3;3;the;357;354;398;373
4;4;inner;417;354;488;373
5;5;product;506;354;607;378
6;6;of;626;355;653;373
7;7;mapping;670;354;773;378
8;8;function;792;354;907;373
9;9;instead;927;354;1028;373
10;10;of;1046;355;1073;373
11;11;the;1092;354;1133;373
12;12;data;1151;354;1208;373
13;13;points,.;26;453;123;477
14;14;The;145;453;187;472
15;15;trick;206;453;277;472
16;16;is;297;453;322;472
17;17;to;341;454;367;472
18;18;identify;387;453;502;477
19;19;the;521;453;562;472
20;20;kernel;582;453;666;472
21;21;functions;687;453;817;472
22;22;which;834;453;907;472
23;23;can;926;458;967;472
24;24;be;986;453;1012;472
25;25;represented;1034;453;1192;477
26;26;in;1212;453;1237;472
27;27;place;63;552;135;576
28;28;of;153;553;180;571
29;29;the;199;552;240;571
30;30;inner;259;552;330;571
31;31;product;348;552;449;576
32;32;of;468;553;495;571
33;33;mapping;512;552;615;576
34;34;functions,.;634;552;776;571
35;35;Kernel;798;552;884;571
36;36;functions;904;552;1034;571
37;37;allow;1054;552;1126;571
38;38;easy;1143;557;1200;576
39;39;computation,.;552;651;724;675
