;number;text;x1;y1;x2;y2
0;0;1,.;58;305;80;323
1;1;To;101;305;129;323
2;2;postbone;148;304;264;328
3;3;you;282;309;323;328
4;4;overcoming;342;304;489;328
5;5;it;508;304;533;323
6;6;until;553;304;623;323
7;7;tomorrow;643;306;760;323
8;8;or;777;309;804;323
9;9;in;823;304;848;323
10;10;5;867;305;879;323
11;11;minutes,.;896;304;1010;323
12;12;Often;1031;305;1103;323
13;13;people;1123;304;1209;328
14;14;would;33;403;106;422
15;15;tell;125;403;180;422
16;16;them;200;403;257;422
17;17;self;276;403;331;422
18;18;something;351;403;482;427
19;19;like,,;500;403;567;426
20;20;I,'ll;591;403;645;422
21;21;just;665;403;721;427
22;22;see;741;408;781;422
23;23;this;800;403;856;422
24;24;funny;876;404;947;427
25;25;cat,-,video;965;403;1096;422
26;26;and;1115;403;1156;422
27;27;have;1175;403;1231;422
28;28;more;48;507;105;521
29;29;energy,.;124;506;221;526
30;30;But;244;503;285;521
31;31;often;304;503;375;521
32;32;that,'s;394;502;480;521
33;33;not;499;504;540;521
34;34;what;557;502;615;521
35;35;is;635;502;660;521
36;36;going;678;502;751;526
37;37;to;769;504;795;521
38;38;happen;814;502;900;526
39;39;though,.;919;502;1016;526
40;40;And;1037;502;1080;521
41;41;when;1097;502;1155;521
42;42;I,'m;1175;503;1216;521
43;43;not;56;603;96;620
44;44;seeing;116;601;202;625
45;45;a;221;606;232;620
46;46;funny;251;602;322;625
47;47;video;339;601;412;620
48;48;I;431;602;441;620
49;49;just;461;601;516;625
50;50;found;536;601;607;620
51;51;about;626;601;696;620
52;52;people;716;601;802;625
53;53;falling;821;601;922;625
54;54;on;940;606;966;620
55;55;a;986;606;997;620
56;56;very;1014;606;1072;625
57;57;slippery;1091;601;1207;625
58;58;slope;394;700;465;724
59;59;I,'ll;484;700;539;719
60;60;tell;559;700;614;719
61;61;you;633;705;674;724
62;62;more;692;705;750;719
63;63;reasons,.;771;705;881;719
