;nFix;FFD;GPT;TRT;fixProp;text
0;26.28252410888672;5.822895288467407;6.310252070426941;9.36532711982727;120.37030792236328;first,
1;14.563958168029785;3.1873857975006104;4.350658893585205;5.057378768920898;64.61167907714844;put
2;11.79992961883545;2.8648157119750977;3.701152801513672;4.028492450714111;62.04549026489258;on
3;20.99547004699707;4.437567710876465;7.223525524139404;7.62216854095459;90.43649291992188;rubber
4;19.80111312866211;4.496890544891357;6.900522232055664;7.091980934143066;91.3633041381836;gloves
5;6.62855339050293;1.7448718547821045;2.1170101165771484;1.9234414100646973;42.63444900512695;and
6;10.876001358032227;3.1315367221832275;3.541343927383423;3.2662370204925537;74.5551986694336;other
7;22.57080841064453;4.624021053314209;8.248600959777832;8.15223503112793;91.98468780517578;protective
8;23.25360870361328;6.528812885284424;9.099507093429565;7.885600566864014;138.1617431640625;gear.
9;18.148112773895264;4.717310786247253;5.321866273880005;6.130115509033203;104.78010559082031;then,
10;19.13836669921875;4.105840682983398;6.819527626037598;6.809169769287109;85.21701049804688;using
11;6.244925498962402;1.7651450634002686;3.0619544982910156;2.1307172775268555;38.209259033203125;a
12;13.739787101745605;3.912886381149292;4.944511413574219;4.963648796081543;79.37676239013672;hose
13;8.751413345336914;2.0712225437164307;3.837247133255005;2.9902288913726807;46.36515426635742;or
14;13.870647430419922;3.6210989952087402;5.656689643859863;4.892001152038574;74.63591766357422;bucket
15;5.325024127960205;1.4767401218414307;2.2758708000183105;1.6810457706451416;32.460262298583984;of
16;13.52358341217041;3.9658169746398926;5.814355850219727;4.626092910766602;83.03253173828125;warm
17;18.4974684715271;4.901323080062866;7.027243971824646;6.263313174247742;107.79047203063965;water,
18;22.043458938598633;4.269441604614258;6.642580509185791;7.533931255340576;92.24635314941406;thoroughly
19;14.102981567382812;3.539001941680908;4.93293571472168;4.607687950134277;76.53568267822266;rinse
20;13.961462020874023;3.418198347091675;5.505265712738037;4.947773456573486;69.7452392578125;your
21;11.848380088806152;3.208660364151001;3.8635942935943604;3.5605435371398926;74.10208892822266;dog
22;3.8190391063690186;1.0358285903930664;1.1000512838363647;1.1558634042739868;24.13167381286621;to
23;16.51544189453125;4.1467366218566895;5.51785945892334;5.640189170837402;89.08152770996094;remove
24;8.147586822509766;1.985190510749817;2.1454455852508545;2.9390156269073486;41.09710693359375;as
25;12.455785751342773;3.1050310134887695;3.8820877075195312;3.9697978496551514;70.88463592529297;much
26;5.39491605758667;1.6656869649887085;1.3951597213745117;1.5279245376586914;40.13497543334961;of
27;6.692110538482666;1.5485347509384155;1.9158854484558105;1.9764678478240967;38.92827606201172;the
28;16.808757781982422;4.322834014892578;8.165339469909668;6.21232271194458;85.87100982666016;skunk
29;11.892512321472168;3.600588083267212;5.747694492340088;4.094485759735107;74.6993179321289;oil
30;5.0662407875061035;1.5061851739883423;1.8911523818969727;1.5332012176513672;34.02815628051758;as
31;17.934895515441895;4.730553984642029;6.509906053543091;5.636632204055786;104.09579086303711;possible.
32;5.624696254730225;1.4836562871932983;1.2107853889465332;1.803795337677002;34.35963821411133;be
33;15.947248458862305;3.4992034435272217;4.365110874176025;5.066989898681641;77.93150329589844;sure
34;5.026448726654053;1.4508906602859497;1.7487412691116333;1.549720287322998;33.05731964111328;to
35;15.310800552368164;3.6289520263671875;4.314817905426025;5.336366176605225;77.85063934326172;avoid
36;13.2933349609375;3.636014699935913;4.67816686630249;4.5432047843933105;80.94596862792969;getting
37;5.529432773590088;1.647423505783081;1.9186012744903564;1.5577222108840942;40.16939926147461;the
