;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;Narcolepsy;86;304;233;328;[1966, 1967];1.1808;316.0;;1;730.5328;2;0.5904;12.8255;15.3586;14.09
1;1;is;252;304;277;323;[1940];0.275;313.5;2.5;1;686.5328;1;0.275;18.3336;17.2803;17.81
2;2;a;296;309;307;323;[];0.0;316.0;2.5;1;656.5328;0;;;;
3;3;chronic;326;304;427;323;[1941];0.2588;313.5;2.5;1;536.5328;1;0.2588;16.7888;16.2911;16.54
4;4;sleep;447;304;518;328;[1968];0.2427;316.0;2.5;1;445.53279999999995;1;0.2427;15.5838;16.1976;15.89
5;5;disorder;536;304;652;323;[1942, 1969];0.436;313.5;2.5;1;311.53279999999995;2;0.218;16.6262;16.2172;16.42
6;6;characterized;671;304;862;323;[1943, 1944, 1970];0.6796;313.5;0.0;1;101.53279999999995;3;0.2265;17.2914;15.9215;16.61
7;7;by;881;304;908;328;[];0.0;316.0;2.5;1;55.53279999999995;0;;;;
8;8;excessive;926;304;1057;323;[1945, 1971];0.5502;313.5;2.5;1;0.0;2;0.2751;17.7677;17.1685;17.47
9;9;daytime;1076;304;1177;328;[1946];0.2588;316.0;2.5;1;112.46720000000005;1;0.2588;16.6208;13.7532;15.19
10;10;sleepiness,,;19;403;176;427;[];0.0;415.0;99.0;2;792.4619697978193;0;;;;
11;11;sudden;199;403;284;422;[1947];0.2257;412.5;2.5;2;685.2392930763967;1;0.2257;17.4203;16.8557;17.14
12;12;urges;304;407;374;427;[1948];0.3721;417.0;4.5;2;596.7067829142215;1;0.3721;16.5896;15.9355;16.26
13;13;to;394;405;420;422;[];0.0;413.5;3.5;2;550.9745612783224;0;;;;
14;14;sleep,,;439;403;521;427;[1949];0.2589;415.0;1.5;2;451.24643109485083;1;0.2589;17.1148;15.491;16.3
15;15;sleep;544;403;615;427;[];0.0;415.0;0.0;2;359.5318833926137;0;;;;
16;16;paralysis,,;634;403;776;427;[1950];0.3239;415.0;0.0;2;207.25977317328122;1;0.3239;16.9958;16.2031;16.6
17;17;and;799;403;840;422;[];0.0;412.5;2.5;2;151.81704507676332;0;;;;
18;18;hypnagogic;859;403;1005;427;[1951];0.3558;415.0;2.5;2;88.25;1;0.3558;17.4516;16.3511;16.9
19;19;hallucinations,.;1024;403;1241;422;[1952];0.356;412.5;2.5;2;106.97824440436479;1;0.356;13.8449;11.0315;12.44
20;20;To;40;503;67;521;[];0.0;512.0;99.5;3;916.0835791432133;0;;;;
21;21;determine;86;502;217;521;[1953];0.2588;511.5;0.5;3;769.6582254324578;1;0.2588;17.1433;16.612;16.88
22;22;whether;234;502;337;521;[];0.0;511.5;0.0;3;653.9158294274882;0;;;;
23;23;you;356;507;397;526;[1954];0.2104;516.5;5.0;3;598.2637177498231;1;0.2104;17.4868;15.8675;16.68
24;24;have;416;502;472;521;[];0.0;511.5;5.0;3;525.9914980071826;0;;;;
25;25;narcolepsy,,;491;502;648;526;[1955];0.2752;514.0;2.5;3;366.91076623048275;1;0.2752;17.3132;15.6232;16.47
26;26;it,'s;672;502;727;521;[];0.0;511.5;2.5;3;301.6791805475479;0;;;;
27;27;best;746;502;802;521;[1956];0.2266;511.5;0.0;3;247.2961948268513;1;0.2266;17.8927;16.4328;17.16
28;28;to;821;504;847;521;[];0.0;512.5;1.0;3;222.25088520822584;0;;;;
29;29;consult;866;502;967;521;[];0.0;511.5;1.0;3;187.25;0;;;;
30;30;with;984;502;1042;521;[1957];0.2429;511.5;0.0;3;188.36525363197958;1;0.2429;17.0476;16.9156;16.98
31;31;a;1061;507;1072;521;[];0.0;514.0;2.5;3;215.54562759620063;0;;;;
32;32;qualified;1091;502;1222;526;[1958];0.2913;514.0;0.0;3;226.5180998857266;1;0.2913;12.1884;10.5458;11.37
33;33;healthcare;19;601;165;620;[];0.0;610.5;96.5;4;848.2886862241179;0;;;;
34;34;professional;184;601;359;625;[1959];0.275;613.0;2.5;4;668.8788894679215;1;0.275;16.0508;15.5266;15.79
35;35;for;379;602;420;620;[];0.0;611.0;2.0;4;614.7686289782847;0;;;;
36;36;a;439;606;450;620;[];0.0;613.0;2.0;4;590.3748802039598;0;;;;
37;37;proper;469;606;555;625;[1960];0.2754;615.5;2.5;4;501.7226436746103;1;0.2754;16.8006;16.4205;16.61
38;38;evaluation,,;573;601;731;623;[];0.0;612.0;3.5;4;368.7961029835321;0;;;;
39;39;which;752;601;824;620;[1961];0.2103;610.5;1.5;4;318.4469575546923;1;0.2103;17.9146;16.3774;17.15
40;40;may;842;606;885;625;[];0.0;615.5;5.0;4;301.65205647540347;0;;;;
41;41;include;904;601;1005;620;[1962, 1963];0.5338;610.5;5.0;4;286.25;2;0.2669;17.4378;15.9807;16.71
42;42;a;1024;606;1035;620;[];0.0;613.0;2.5;4;297.4606608878559;0;;;;
43;43;comprehensive;1054;601;1245;625;[];0.0;613.0;0.0;4;300.20555753656527;0;;;;
44;44;medical;198;700;300;719;[1964];0.4045;709.5;96.5;5;767.263539584568;1;0.4045;16.8972;17.0954;17.0
45;45;history,,;320;700;432;724;[1965];0.1937;712.0;2.5;5;656.4637689742215;1;0.1937;16.8111;16.4393;16.63
46;46;a;455;705;466;719;[];0.0;712.0;0.0;5;632.3242440202969;0;;;;
47;47;physical;485;700;600;724;[];0.0;712.0;0.0;5;529.6920418279285;0;;;;
48;48;examination,,;619;700;792;722;[];0.0;711.0;1.0;5;421.71206287684015;0;;;;
49;49;and;815;700;856;719;[];0.0;709.5;1.5;5;399.976081254667;0;;;;
50;50;sleep;875;700;946;724;[];0.0;712.0;2.5;5;385.6487541479163;0;;;;
51;51;studies,.;965;700;1077;719;[];0.0;709.5;2.5;5;385.252793858578;0;;;;
