;number;text;x1;y1;x2;y2
0;0;Star;228;346;264;365
1;1;Wars;272;347;315;365
2;2;is;324;346;336;365
3;3;a;344;351;352;365
4;4;film;361;346;392;365
5;5;franchise;401;346;481;365
6;6;mainly;490;346;548;370
7;7;and;556;346;587;365
8;8;has;596;346;625;365
9;9;expanded;633;346;719;370
10;10;into;728;346;760;365
11;11;other;768;346;815;365
12;12;mediums,;823;346;909;370
13;13;Star;918;346;955;365
14;14;trek;962;346;997;365
15;15;is;1005;346;1017;365
16;16;an;1025;351;1045;365
17;17;episodic;211;450;283;475
18;18;show;291;450;335;470
19;19;which;343;450;393;470
20;20;also;401;450;435;470
21;21;has;444;450;473;470
22;22;expanded;481;450;567;475
23;23;into;576;451;608;470
24;24;other;616;450;663;470
25;25;media;671;450;723;470
26;26;formats,;732;450;806;475
27;27;Star;815;451;852;470
28;28;Wars;859;451;902;470
29;29;is;911;451;923;470
30;30;set;931;452;957;470
31;31;in;965;451;978;470
32;32;a;987;455;995;470
33;33;galaxy;1004;450;1061;475
34;34;far;205;555;229;575
35;35;away;237;560;282;580
36;36;a;290;560;298;575
37;37;long;307;555;343;580
38;38;time;351;556;390;575
39;39;ago;398;560;429;580
40;40;whereas;438;555;511;575
41;41;Star;519;556;556;575
42;42;Trek;562;555;602;575
43;43;is;610;556;622;575
44;44;set;630;557;656;575
45;45;mainly;664;555;722;580
46;46;in;731;560;744;575
47;47;our;753;560;782;575
48;48;local;790;555;827;575
49;49;galactic;836;555;903;580
50;50;neighbourhood;912;555;1044;580
51;51;in;1054;560;1067;575
52;52;the;402;660;429;680
53;53;relatively;438;660;519;685
54;54;near;527;665;566;680
55;55;earth;573;660;618;680
56;56;future;627;660;680;680
57;57;(by;688;660;716;685
58;58;sci-fi-;724;660;774;680
59;59;standards);782;660;877;685
