;number;text;x1;y1;x2;y2;fixations;fix_duration;fix_number;pupil_l;pupil_r;y;diff_y;line;distance;fix_duration_avg;pupil;first_fix_duration
0;0;The;78;354;120;373;[];0.0;0;;;363.5;;1;667.4489969459826;;;0.0
1;1;core;139;359;195;373;[1363];0.4692;1;12.1467;14.2024;366.0;2.5;1;664.9877715598974;0.4692;13.17;0.4692
2;2;of;214;355;240;373;[1373, 1374, 1375, 1376, 1377, 1378, 1379];6.5669;7;10.7299;9.2868;364.0;2.0;1;660.3772799999999;0.9381;10.01;1.4558
3;3;Open;258;355;315;378;[1364];0.4044;1;12.8397;14.3634;366.5;2.5;1;661.2784814918737;0.4044;13.6;0.4044
4;4;Assistant;333;354;465;373;[];0.0;0;;;363.5;3.0;1;668.4095118444967;;;0.0
5;5;is;485;354;510;373;[1365];0.2269;1;13.1757;13.4728;363.5;0.0;1;709.3425995414334;0.2269;13.32;0.2269
6;6;written;527;354;630;373;[1366];0.2589;1;13.549;14.1283;363.5;0.0;1;725.8773529489664;0.2589;13.84;0.2589
7;7;in;650;354;675;373;[];0.0;0;;;363.5;0.0;1;785.2966850332416;;;0.0
8;8;Python,;694;354;791;378;[1367];0.275;1;13.7205;13.8462;366.0;2.5;1;810.0369988612855;0.275;13.78;0.275
9;9;but;814;354;855;373;[];0.0;0;;;363.5;2.5;1;885.1456487630712;;;0.0
10;10;it;875;354;900;373;[];0.0;0;;;363.5;0.0;1;926.9553837829511;;;0.0
11;11;uses;919;359;975;373;[1368];0.2427;1;13.2096;13.3474;366.0;2.5;1;961.8389222339665;0.2427;13.28;0.2427
12;12;libraries;994;354;1125;373;[1369];0.1454;1;8.4944;11.892;363.5;2.5;1;1014.1336891772199;0.1454;10.19;0.1454
13;13;and;1144;354;1185;373;[1370];0.2911;1;7.8361;8.5324;363.5;0.0;1;1132.3077053187435;0.2911;8.18;0.2911
14;14;connects;57;454;172;472;[1371];0.3559;1;11.4351;13.1494;463.0;99.5;2;761.1207969331795;0.3559;12.29;0.3559
15;15;to;192;454;218;472;[];0.0;0;;;463.0;0.0;2;759.3971105582364;;;0.0
16;16;tools;237;453;307;472;[1372];0.259;1;11.4933;11.5362;462.5;0.5;2;758.4976420294254;0.259;11.51;0.259
17;17;written;325;453;427;472;[];0.0;0;;;462.5;0.0;2;765.1410229259691;;;0.0
18;18;in;447;453;472;472;[];0.0;0;;;462.5;0.0;2;790.6286821031719;;;0.0
19;19;a;492;458;503;472;[];0.0;0;;;465.0;2.5;2;809.2240516471308;;;0.0
20;20;variety;521;453;623;477;[];0.0;0;;;465.0;0.0;2;814.646849232352;;;0.0
21;21;of;641;454;668;472;[];0.0;0;;;463.0;2.0;2;866.5853238569173;;;0.0
22;22;Languages.;686;453;829;477;[];0.0;0;;;465.0;2.0;2;888.2868055781299;;;0.0
23;23;The;850;453;893;472;[];0.0;0;;;462.5;2.5;2;983.693745514425;;;0.0
24;24;source;912;458;998;472;[];0.0;0;;;465.0;2.5;2;1028.0046915088462;;;0.0
25;25;code;1017;453;1073;472;[];0.0;0;;;462.5;2.5;2;1097.6326311495109;;;0.0
26;26;for;1092;454;1133;472;[];0.0;0;;;463.0;0.5;2;1153.675408216799;;;0.0
27;27;Open;1150;454;1207;477;[];0.0;0;;;465.5;2.5;2;1197.9475529104761;;;0.0
28;28;Assistant;175;552;307;571;[];0.0;0;;;561.5;96.0;3;857.3772799999999;;;0.0
29;29;is;327;552;352;571;[];0.0;0;;;561.5;0.0;3;863.6032274165019;;;0.0
30;30;available;371;552;502;571;[];0.0;0;;;561.5;0.0;3;869.9744768694069;;;0.0
31;31;on;521;557;547;571;[];0.0;0;;;564.0;2.5;3;912.254330329102;;;0.0
32;32;GitHub;565;552;653;571;[];0.0;0;;;561.5;2.5;3;922.8901594470484;;;0.0
33;33;for;672;553;712;571;[];0.0;0;;;562.0;0.5;3;968.4908719054602;;;0.0
34;34;anyone;731;557;817;576;[];0.0;0;;;566.5;4.5;3;1000.6313023307827;;;0.0
35;35;to;836;553;862;571;[];0.0;0;;;562.0;4.5;3;1054.505810777825;;;0.0
36;36;view;880;552;939;571;[];0.0;0;;;561.5;0.5;3;1079.8628646287445;;;0.0
37;37;and;956;552;997;571;[];0.0;0;;;561.5;0.0;3;1127.683302352304;;;0.0
38;38;edit:;1016;552;1083;571;[];0.0;0;;;561.5;0.0;3;1167.54917258512;;;0.0
39;39;https://github.com/LAION-AI/Open-Assistant;326;651;952;675;[];0.0;0;;;663.0;101.5;4;961.855608625431;;;0.0
