;rejected;chosen;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
1;0.3209585242869524;0.3472349526394442;0.188811651730096;0.3740816183763992;0.4137108915576981;0.2722176527942486;0.3951052471692232;0.3220821738023924;0.4072494033360256;0.3157231939338749;0.3031211830814199;0.2782436531597381;0.375655713781872;0.3119878404326723;0.2753742842640557;0.2773239550920786;0.4460299978260871;0.2741985513471087;0.3487820703852671
2;0.2790485197561423;0.3130569213831206;0.1650030477793529;0.2901909090755185;0.3512521009758824;0.2577552034904906;0.3427478385516927;0.2675217158772981;0.3286146409560807;0.2812767122356914;0.2695166001142784;0.2619243848895247;0.2886487341212984;0.283348773677024;0.2596326422712276;0.2730461289399613;0.3462888967980184;0.2583027829427274;0.2950633002030149
3;0.2951460460177763;0.3251842770728829;0.2172901479004217;0.3409474565729119;0.4184966629383521;0.2665286854535116;0.4016779944947546;0.3060411964213029;0.4240594806977009;0.3022420443830352;0.2862627765783664;0.2640327470718108;0.3366504445713383;0.2993576499037857;0.2583057740495912;0.2601071010530446;0.4175017246639905;0.2656194230232545;0.3363494789753933
4;0.2252736892929417;0.3473456470878753;0.2310807862888089;0.3077693366508577;0.3913645525790896;0.2874417779402776;0.3335751978158042;0.3213921874110971;0.3054280098096766;0.3231520710168816;0.2701004390824063;0.2865295757656072;0.2879380423271473;0.3062466588337417;0.2888767684737346;0.2896521242336898;0.3639374627718543;0.2899675184314517;0.2985829176960742
5;0.1668480936781451;0.3126366053764771;0.1755262097111531;0.2928641529033249;0.3574500052716121;0.2499351296564739;0.324078120935787;0.2526762297435299;0.335659651953627;0.2538415068204517;0.2465503405464341;0.2482673726754437;0.2461878684616032;0.2436125040714786;0.2491400990099754;0.2513880369266743;0.3774264380004369;0.2499543239662591;0.2301267433531378
6;0.3130914567510413;0.3265432751759496;0.2233205160006499;0.3661133631448713;0.4101217924751164;0.2870834689314185;0.4009286308155694;0.3234699097029827;0.4093980448931062;0.3167067693458097;0.2994169713636641;0.2827636660250089;0.3405860456053095;0.3000828088571695;0.2857976950190136;0.2803378932308322;0.4091909562446149;0.285840569020338;0.3317583960376362
7;0.2639974323617901;0.2658056045654405;0.1879480014737579;0.3338553377888583;0.3852959449844089;0.2489091499938203;0.3700389374247558;0.2766112628441503;0.3808047390620735;0.2723951677631306;0.2395395552927638;0.2531646837231533;0.2857183969539718;0.2789392152323841;0.2535766111431643;0.2626507204762401;0.3934861141930885;0.2581157203637433;0.2779890066445155
8;0.3826370660572327;0.4901406519404881;0.2928992292015254;0.3727019030908141;0.4945615756442811;0.4133240725372247;0.3890889739527248;0.4417711244651882;0.4184833723326996;0.4501113822526719;0.4460587659307567;0.4065095762095326;0.4331986705323581;0.4666570848707532;0.4073506440721514;0.4095257027207307;0.4755368966469995;0.4155969954084327;0.4100269974690788
mean;0.28087510352525275;0.3409934919052098;0.2102349487607207;0.3348155097004445;0.40278169080330506;0.2853993925996832;0.36965511764503894;0.3139457250334927;0.3762121678801238;0.3144311059689434;0.29507082899876125;0.2851794574399774;0.32432298954436234;0.3112790669848761;0.2847568147878642;0.28800395783415644;0.4036748108931363;0.2871994855629144;0.3160848638455147
std;0.06501164652208338;0.06548795361421689;0.04087476905267823;0.034801582932263875;0.04470569606614718;0.05379198822930577;0.031919661118176575;0.05845288426559662;0.04641790348662824;0.0599737411716787;0.06510775155326416;0.05092317949032572;0.05987766603405965;0.06637594588745017;0.05169550056485411;0.050608533314557926;0.04283643179949589;0.05371650380496443;0.053637491012010916
