;number;text;x1;y1;x2;y2
0;0;You;251;137;282;156
1;1;might;292;136;342;161
2;2;consider;350;136;425;156
3;3;telling;431;136;484;161
4;4;your;493;141;533;161
5;5;9-year-old;541;136;633;161
6;6;about;642;136;692;156
7;7;the;699;136;727;156
8;8;latest;735;136;783;156
9;9;news;791;141;835;156
10;10;for;843;136;867;156
11;11;the;874;136;902;156
12;12;James;909;137;965;156
13;13;Webb;973;136;1022;156
14;14;telescope.;213;241;302;265
15;15;Recently,;312;241;392;265
16;16;researchers;402;241;505;260
17;17;using;513;242;558;265
18;18;NASA’s;568;241;630;260
19;19;James;638;242;693;260
20;20;Webb;701;241;750;260
21;21;Space;759;241;811;265
22;22;Telescope;818;241;907;265
23;23;are;915;246;942;260
24;24;getting;950;242;1011;265
25;25;their;1020;241;1061;260
26;26;first;211;346;246;365
27;27;look;254;346;290;365
28;28;at;297;347;314;365
29;29;star;321;347;355;365
30;30;formation,;362;346;454;370
31;31;gas,;463;351;498;370
32;32;and;507;346;538;365
33;33;dust;547;346;585;365
34;34;in;593;346;606;365
35;35;nearby;616;346;676;370
36;36;galaxies;684;346;755;370
37;37;with;763;346;799;365
38;38;unprecedented;808;346;940;370
39;39;resolution;949;346;1036;365
40;40;at;1044;347;1061;365
41;41;infrared;221;450;288;470
42;42;wavelengths.;297;450;413;475
43;43;The;422;450;454;470
44;44;data;462;450;499;470
45;45;has;509;450;538;470
46;46;enabled;546;450;614;470
47;47;an;623;455;643;470
48;48;initial;652;450;698;470
49;49;collection;707;450;789;470
50;50;of;798;450;815;470
51;51;21;822;451;841;470
52;52;research;851;450;925;470
53;53;papers;935;455;993;475
54;54;which;1001;450;1051;470
55;55;provide;237;555;303;580
56;56;new;311;560;346;575
57;57;insight;354;555;413;580
58;58;into;421;556;453;575
59;59;how;462;555;496;575
60;60;some;504;560;551;575
61;61;of;559;555;576;575
62;62;the;583;555;610;575
63;63;smallest-scale;618;555;745;575
64;64;processes;753;560;840;580
65;65;in;848;556;862;575
66;66;our;870;560;899;575
67;67;universe;907;556;982;575
68;68;-;990;566;999;567
69;69;the;1007;555;1035;575
70;70;beginnings;234;660;330;685
71;71;of;338;660;355;680
72;72;star;362;662;396;680
73;73;formation;402;660;488;680
74;74;-;497;670;506;672
75;75;impact;515;661;574;685
76;76;the;581;660;609;680
77;77;evolution;617;660;698;680
78;78;of;706;660;723;680
79;79;the;730;660;757;680
80;80;largest;766;660;826;685
81;81;objects;833;660;897;685
82;82;in;905;661;919;679
83;83;our;927;665;957;680
84;84;cosmos:;964;665;1036;680
85;85;galaxies.;232;765;309;789
86;86;If;319;765;332;784
87;87;you'd;338;765;385;789
88;88;like,;395;765;430;789
89;89;I;439;766;444;784
90;90;can;453;770;482;784
91;91;summarize;490;766;588;784
92;92;these;596;765;643;784
93;93;papers;652;770;711;789
94;94;in;719;766;733;784
95;95;a;741;770;750;784
96;96;way;758;770;793;789
97;97;that;800;765;835;784
98;98;a;843;770;851;784
99;99;nine-year-old;861;765;979;789
100;100;would;988;765;1039;784
101;101;understand;576;870;675;889
102;102;it?;684;870;703;889
