;number;text;x1;y1;x2;y2
0;0;The;49;354;91;373
1;1;consumption;110;354;271;378
2;2;per;290;359;331;378
3;3;person;350;359;436;378
4;4;per;455;359;496;378
5;5;year;515;359;571;378
6;6;varies;589;354;676;373
7;7;by;695;354;721;378
8;8;country,.;740;355;852;378
9;9;In;876;355;901;373
10;10;the;920;354;961;373
11;11;Unites;980;354;1066;373
12;12;states;1086;355;1171;373
13;13;it;1191;354;1216;373
14;14;was;32;458;75;472
15;15;0.23,kg;94;453;181;477
16;16;per;199;458;240;477
17;17;year;259;458;315;477
18;18;in;335;453;360;472
19;19;2016;379;454;435;472
20;20;according;454;453;586;477
21;21;to;604;454;630;472
22;22;Wikipeda,.;647;453;776;477
23;23;If;800;454;825;472
24;24;you;844;458;885;477
25;25;are;904;458;945;472
26;26;feeling;965;453;1066;477
27;27;unwell;1084;453;1169;472
28;28;you;1189;458;1230;477
29;29;should;71;552;157;571
30;30;see;176;557;217;571
31;31;a;236;557;247;571
32;32;doctor,.;265;552;363;571
33;33;An;384;553;411;571
34;34;digital;430;552;531;576
35;35;assistant;551;552;681;571
36;36;can,not;701;553;786;571
37;37;give;805;552;862;576
38;38;you;880;557;921;576
39;39;competent;941;553;1071;576
40;40;medical;1089;552;1191;571
41;41;advice,.;589;651;686;670
