;number;text;x1;y1;x2;y2
0;0;Sure,,;78;58;146;79
1;1;I;169;58;179;76
2;2;can;199;62;239;76
3;3;explain;258;57;359;81
4;4;it;379;57;404;76
5;5;to;424;58;450;76
6;6;you;468;62;509;81
7;7;in;529;57;554;76
8;8;a;574;62;585;76
9;9;way;602;62;645;81
10;10;that;664;57;719;76
11;11;you;738;62;779;81
12;12;can;799;62;839;76
13;13;understand,!;859;57;1015;76
14;14;Artificial;1037;57;1184;76
15;15;intelligence;34;156;209;180
16;16;(,AI,);230;156;282;180
17;17;is;304;156;329;175
18;18;a;348;161;359;175
19;19;computer;378;157;494;180
20;20;program;513;159;615;180
21;21;or;633;161;659;175
22;22;machine;677;156;779;175
23;23;that;798;156;854;175
24;24;can;873;161;914;175
25;25;do;932;156;959;175
26;26;things;978;156;1064;180
27;27;that;1083;156;1139;175
28;28;would;1156;156;1229;175
29;29;normally;71;255;187;279
30;30;require;208;255;307;279
31;31;human;326;255;396;274
32;32;intelligence;416;255;592;279
33;33;to;611;256;637;274
34;34;do,.;655;255;693;274
35;35;It;716;256;741;274
36;36;can;761;260;801;274
37;37;learn;820;255;891;274
38;38;from;911;256;968;274
39;39;experience;985;255;1132;279
40;40;and;1151;255;1192;274
41;41;improve;33;354;134;378
42;42;over;152;359;209;373
43;43;time,,;228;354;295;376
44;44;just;318;354;373;378
45;45;like;392;354;449;373
46;46;how;468;354;510;373
47;47;you;527;359;568;378
48;48;get;587;355;628;378
49;49;better;648;354;734;373
50;50;at;753;355;778;373
51;51;a;798;359;809;373
52;52;game;827;357;884;378
53;53;when;901;354;958;373
54;54;you;977;359;1018;378
55;55;play;1037;354;1094;378
56;56;it;1113;354;1138;373
57;57;more,.;1156;359;1225;373
58;58;For;26;454;67;472
59;59;example,,;85;453;198;477
60;60;have;221;453;277;472
61;61;you;295;458;336;477
62;62;ever;355;458;412;472
63;63;played;430;453;517;477
64;64;a;536;458;547;472
65;65;game;565;456;622;477
66;66;where;639;453;712;472
67;67;the;731;453;772;472
68;68;computer;791;454;907;477
69;69;is;926;453;951;472
70;70;your;970;458;1027;477
71;71;opponent,?;1045;454;1177;477
72;72;The;1194;453;1237;472
73;73;computer;49;553;165;576
74;74;makes;182;552;254;571
75;75;decisions;273;552;404;571
76;76;and;424;552;465;571
77;77;plays;483;552;554;576
78;78;the;574;552;615;571
79;79;game;633;555;690;576
80;80;like;708;552;765;571
81;81;a;784;557;795;571
82;82;real;816;552;869;571
83;83;person;888;557;974;576
84;84;would,,;992;552;1076;574
85;85;but;1099;552;1139;571
86;86;it,'s;1159;552;1214;571
87;87;actually;27;651;143;675
88;88;just;162;651;217;675
89;89;a;237;656;248;670
90;90;program;266;654;369;675
91;91;that,'s;387;651;472;670
92;92;been;492;651;547;670
93;93;designed;566;651;683;675
94;94;to;702;652;728;670
95;95;do;746;651;773;670
96;96;that,.;792;651;859;670
97;97;That,'s;880;651;967;670
98;98;an;987;656;1012;670
99;99;example;1031;651;1133;675
100;100;of;1151;652;1178;670
101;101;AI,!;1195;652;1233;670
102;102;AI;48;751;74;769
103;103;is;95;750;120;769
104;104;used;139;750;195;769
105;105;in;215;750;240;769
106;106;lots;259;750;315;769
107;107;of;334;751;360;769
108;108;things;379;750;465;774
109;109;like;484;750;540;769
110;110;voice;558;750;630;769
111;111;assistants;649;750;795;769
112;112;(,like;816;750;885;774
113;113;Siri;904;750;956;769
114;114;and;979;750;1020;769
115;115;Alexa,),,;1038;750;1136;774
116;116;self-;1160;750;1228;769
117;117;driving;25;849;128;873
118;118;cars,,;146;854;213;871
119;119;and;236;849;277;868
120;120;even;296;854;352;868
121;121;in;372;849;397;868
122;122;robots;419;849;502;868
123;123;that;521;849;577;868
124;124;can;596;854;637;868
125;125;do;655;849;682;868
126;126;things;701;849;787;873
127;127;like;806;849;862;868
128;128;vacuum;880;854;968;868
129;129;the;986;849;1027;868
130;130;floor;1047;849;1117;868
131;131;or;1136;854;1162;868
132;132;play;1181;849;1237;873
133;133;games;528;951;600;972
134;134;with;617;948;675;967
135;135;you,.;694;953;746;972
