;number;text;x1;y1;x2;y2
0;0;Some;72;305;128;323
1;1;says;148;309;203;328
2;2;it;223;304;248;323
3;3;does;267;304;323;323
4;4;not;342;306;383;323
5;5;work,.;400;304;469;323
6;6;It;493;305;518;323
7;7;is;538;304;563;323
8;8;most;581;306;638;323
9;9;likely;657;304;744;328
10;10;coming;762;304;849;328
11;11;from;868;305;924;323
12;12;the;942;304;983;323
13;13;slow;1003;304;1060;323
14;14;decision;1077;304;1193;323
15;15;making;33;403;121;427
16;16;process;139;408;240;427
17;17;of;259;404;285;422
18;18;the;304;403;345;422
19;19;highly;364;403;451;427
20;20;burocratic;469;403;615;422
21;21;system,.;635;405;731;427
22;22;Whoever;752;403;855;422
23;23;designed;874;403;990;427
24;24;it;1010;403;1035;422
25;25;was;1052;408;1095;422
26;26;probably;1114;403;1231;427
27;27;brain;34;502;104;521
28;28;damaged;123;502;225;526
29;29;or;243;507;270;521
30;30;had;289;502;330;521
31;31;an;349;507;374;521
32;32;agenda;394;502;480;526
33;33;for;499;503;540;521
34;34;obfuscating;558;502;720;526
35;35;the;739;502;780;521
36;36;politicians;799;502;959;526
37;37;responsibility;981;502;1185;526
38;38;in;1204;502;1229;521
39;39;the;49;601;90;620
40;40;decisions,.;108;601;251;620
41;41;Even;274;602;329;620
42;42;if;349;601;375;620
43;43;voters;392;603;479;620
44;44;realise;501;601;600;620
45;45;which;617;601;689;620
46;46;politican;709;601;839;625
47;47;is;859;601;884;620
48;48;a;904;606;915;620
49;49;leech;933;601;1004;620
50;50;on;1023;606;1049;620
51;51;the;1069;601;1110;620
52;52;system;1129;603;1216;625
53;53;they;334;700;391;724
54;54;have;409;700;465;719
55;55;low;484;700;527;719
56;56;potential;544;700;674;724
57;57;to;694;702;720;719
58;58;fire;740;700;795;719
59;59;the;814;700;855;719
60;60;them,.;874;700;941;719
