;number;text;x1;y1;x2;y2
0;0;A;25;305;39;323
1;1;penguin;57;304;157;328
2;2;and;177;304;218;323
3;3;a;237;309;248;323
4;4;walrus;265;304;352;323
5;5;walk;370;304;428;323
6;6;into;447;304;503;323
7;7;a;522;309;533;323
8;8;bar,.;552;304;604;323
9;9;The;625;304;668;323
10;10;bartender;687;304;818;323
11;11;looks;836;304;907;323
12;12;up;927;309;953;328
13;13;and;972;304;1013;323
14;14;says,,;1032;309;1099;328
15;15;""",What";1123;304;1192;323
16;16;is;1212;304;1237;323
17;17;this,,;34;403;101;425
18;18;some;124;408;180;422
19;19;kind;199;403;255;422
20;20;of;273;404;300;422
21;21;Arctic;317;403;405;422
22;22;"joke,?,""";424;403;508;427
23;23;The;527;403;570;422
24;24;penguin;589;403;689;427
25;25;and;709;403;750;422
26;26;walrus;767;403;854;422
27;27;just;874;403;929;427
28;28;look;948;403;1005;422
29;29;at;1024;405;1049;422
30;30;each;1068;403;1124;422
31;31;other,,;1143;403;1226;425
32;32;confused,.;35;502;162;521
33;33;Then;183;502;240;521
34;34;the;260;502;301;521
35;35;walrus;318;502;405;521
36;36;shrugs;425;502;510;526
37;37;and;530;502;571;521
38;38;says,,;590;507;657;526
39;39;""",I";681;503;705;521
40;40;do,n't;724;502;795;521
41;41;know;815;502;872;521
42;42;about;890;502;960;521
43;43;Arctic;978;502;1066;521
44;44;jokes,,;1085;502;1167;526
45;45;but;1190;502;1230;521
46;46;we;48;606;76;620
47;47;sure;95;606;151;620
48;48;know;170;601;227;620
49;49;how;245;601;287;620
50;50;to;305;603;331;620
51;51;break;350;601;421;620
52;52;the;440;601;481;620
53;53;"ice,!,""";500;601;569;620
54;54;The;588;601;631;620
55;55;penguin;650;601;750;625
56;56;rolls;772;601;840;620
57;57;his;860;601;900;620
58;58;eyes,,;919;606;987;625
59;59;but;1010;601;1050;620
60;60;ca,n't;1070;602;1140;620
61;61;help;1160;601;1216;625
62;62;but;552;700;592;719
63;63;chuckle,.;612;700;724;719
