;number;text;x1;y1;x2;y2
0;0;I,'m;27;454;69;472
1;1;sorry,,;87;458;169;477
2;2;I;192;454;202;472
3;3;did,n't;221;453;307;472
4;4;quite;326;453;398;477
5;5;understand;417;453;563;472
6;6;your;581;458;638;477
7;7;question,,;656;453;784;477
8;8;could;807;453;878;472
9;9;you;896;458;937;477
10;10;please;956;453;1043;477
11;11;rephrase;1064;453;1178;477
12;12;it,?;1197;453;1238;472
13;13;Does;86;553;142;571
14;14;your;161;557;218;576
15;15;question;236;552;352;576
16;16;have;372;552;428;571
17;17;anything;447;552;563;576
18;18;to;582;553;608;571
19;19;do;626;552;653;571
20;20;with;670;552;727;571
21;21;the;747;552;788;571
22;22;rugby;809;552;878;576
23;23;player;896;552;983;576
24;24;Theo;1000;552;1058;571
25;25;Harding,?;1076;552;1193;576
