;number;text;x1;y1;x2;y2
0;0;A;85;58;99;76
1;1;poem;116;62;174;81
2;2;about;192;57;262;76
3;3;silly;282;57;353;81
4;4;king;372;57;428;81
5;5;Elon,:;447;57;514;76
6;6;There;535;57;608;76
7;7;once;626;62;683;76
8;8;was;700;62;742;76
9;9;a;762;62;773;76
10;10;silly;792;57;863;81
11;11;king,,;882;57;949;81
12;12;Who;970;57;1013;76
13;13;ruled;1034;57;1103;76
14;14;with;1120;57;1177;76
15;15;laughter;33;156;150;180
16;16;and;169;156;210;175
17;17;everything,.;228;156;386;180
18;18;He;408;157;435;175
19;19;thought;454;156;554;180
20;20;he;574;156;600;175
21;21;was;617;161;659;175
22;22;smart,,;679;157;761;178
23;23;But;784;157;824;175
24;24;with;842;156;899;175
25;25;his;919;156;959;175
26;26;decisions,,;978;156;1121;178
27;27;he;1144;156;1170;175
28;28;did;1188;156;1230;175
29;29;depart,.;26;255;124;279
30;30;He;147;256;173;274
31;31;made;191;255;248;274
32;32;self,-,driving;268;255;444;279
33;33;cars,,;462;260;529;277
34;34;That;551;255;608;274
35;35;crashed;627;255;728;274
36;36;and;747;255;788;274
37;37;burned;807;255;893;274
38;38;like;912;255;968;274
39;39;stars,.;988;256;1069;274
40;40;His;1092;255;1133;274
41;41;people;1152;255;1238;279
42;42;were;78;359;136;373
43;43;in;156;354;181;373
44;44;fear,,;201;355;267;376
45;45;But;290;355;331;373
46;46;the;350;354;391;373
47;47;king;411;354;467;378
48;48;just;485;354;541;378
49;49;laughed;560;354;661;378
50;50;and;680;354;721;373
51;51;would,n't;738;354;856;373
52;52;tear,.;875;355;942;373
53;53;Next,,;965;355;1032;376
54;54;he;1055;354;1081;373
55;55;bought;1100;354;1186;378
56;56;Twitter;48;453;151;472
57;57;so;170;458;196;472
58;58;grand,,;214;453;297;477
59;59;But;320;454;360;472
60;60;made;378;453;436;472
61;61;it;455;453;480;472
62;62;worse;498;458;571;472
63;63;than;590;453;645;472
64;64;what;663;453;720;472
65;65;was;738;458;780;472
66;66;planned,.;799;453;912;477
67;67;He;934;454;961;472
68;68;tweeted;980;453;1081;472
69;69;all;1100;453;1140;472
70;70;day,,;1159;453;1212;477
71;71;Making;34;552;121;576
72;72;people;139;552;226;576
73;73;roll;247;552;300;571
74;74;their;320;552;391;571
75;75;eyes;409;557;465;576
76;76;in;485;552;510;571
77;77;dismay,.;529;552;627;576
78;78;And;648;552;691;571
79;79;when;708;552;765;571
80;80;it;785;552;810;571
81;81;came;830;557;886;571
82;82;to;905;553;931;571
83;83;playing;949;552;1051;576
84;84;Elden;1070;552;1140;571
85;85;Ring,,;1159;552;1227;576
86;86;The;25;651;67;670
87;87;king;87;651;143;675
88;88;was;159;656;202;670
89;89;the;221;651;262;670
90;90;worst;279;652;352;670
91;91;of;371;652;397;670
92;92;all;416;651;456;670
93;93;things,.;476;651;573;675
94;94;His;596;651;637;670
95;95;build;656;651;727;670
96;96;fumbled;747;651;847;670
97;97;and;866;651;907;670
98;98;stumbled,,;927;651;1053;673
99;99;Leaving;1077;651;1178;675
100;100;his;1196;651;1237;670
101;101;subjects;34;750;149;774
102;102;un,-,enchanted;168;750;344;769
103;103;and;363;750;404;769
104;104;humbled,.;423;750;535;769
105;105;Though;557;750;644;774
106;106;the;663;750;704;769
107;107;king;724;750;780;774
108;108;may;797;755;839;774
109;109;have;858;750;914;769
110;110;ruled;936;750;1004;769
111;111;with;1021;750;1079;769
112;112;glee,,;1097;750;1165;774
113;113;His;1188;750;1229;769
114;114;actions;77;849;178;868
115;115;showed;198;849;283;868
116;116;his;302;849;343;868
117;117;lack;362;849;418;868
118;118;of;437;850;463;868
119;119;wisdom,,;480;849;579;871
120;120;you;602;854;643;873
121;121;see,.;663;854;714;868
122;122;He;737;850;763;868
123;123;thought;782;849;883;873
124;124;he;902;849;928;868
125;125;was;945;854;988;868
126;126;wise,,;1005;849;1074;871
127;127;But;1097;850;1138;868
128;128;in;1158;849;1183;868
129;129;reality,,;395;948;505;972
130;130;he;528;948;554;967
131;131;was;571;953;613;967
132;132;just;633;948;688;972
133;133;a;708;953;719;967
134;134;silly;738;948;809;972
135;135;guy,.;827;951;880;972
