;number;text;x1;y1;x2;y2
0;0;It;50;305;75;323
1;1;is;95;304;120;323
2;2;not;139;306;180;323
3;3;possible;199;304;315;328
4;4;to;334;306;360;323
5;5;determine;379;304;510;323
6;6;the;529;304;570;323
7;7;outcome;589;306;690;323
8;8;of;709;305;735;323
9;9;a;754;309;765;323
10;10;hypothetical;784;304;959;328
11;11;battle;979;304;1065;323
12;12;between;1084;304;1185;323
13;13;a;1204;309;1215;323
14;14;giant;48;403;119;427
15;15;Tyrannosaurus;137;404;329;427
16;16;Rex;348;404;390;422
17;17;and;409;403;450;422
18;18;Godzilla;468;403;585;422
19;19;as;604;408;629;422
20;20;both;649;403;704;422
21;21;are;724;408;765;422
22;22;fictional;784;403;914;422
23;23;creatures;934;405;1064;422
24;24;and;1084;403;1125;422
25;25;their;1144;403;1215;422
26;26;abilities;71;502;202;521
27;27;and;221;502;262;521
28;28;strengths;282;502;412;526
29;29;are;431;507;472;521
30;30;subject;492;502;592;526
31;31;to;611;504;637;521
32;32;interpretation;657;502;862;526
33;33;and;881;502;922;521
34;34;vary;940;507;998;526
35;35;in;1017;502;1042;521
36;36;different;1061;502;1192;521
37;37;depictions,.;33;601;191;625
38;38;Additionally,,;212;601;401;625
39;39;comparing;424;601;555;625
40;40;the;574;601;615;620
41;41;two;634;603;675;620
42;42;creatures;694;603;824;620
43;43;is;844;601;869;620
44;44;a;889;606;900;620
45;45;matter;917;603;1005;620
46;46;of;1023;602;1050;620
47;47;speculation;1069;601;1229;625
48;48;and;94;700;135;719
49;49;subjective;155;700;300;724
50;50;judgment,,;319;700;446;724
51;51;and;469;700;510;719
52;52;any;529;705;571;724
53;53;conclusion;589;700;735;719
54;54;would;752;700;825;719
55;55;be;844;700;870;719
56;56;purely;889;700;976;724
57;57;hypothetical,.;994;700;1181;724
