;number;text;x1;y1;x2;y2
0;0;To;49;206;76;224
1;1;apply;95;205;167;229
2;2;an;185;210;211;224
3;3;an;230;210;256;224
4;4;AutoFilter;273;205;421;224
5;5;in;441;205;466;224
6;6;Excel,,;485;205;567;228
7;7;follow;591;205;678;224
8;8;these;695;205;766;224
9;9;steps,:;786;207;867;229
10;10;1,.;890;206;912;224
11;11;Select;935;205;1021;224
12;12;the;1040;205;1081;224
13;13;data;1100;205;1156;224
14;14;you;1175;210;1216;229
15;15;want;40;306;97;323
16;16;to;117;306;143;323
17;17;filter,.;162;304;259;323
18;18;2,.;281;305;304;323
19;19;Click;326;304;398;323
20;20;*,*,Data,*,*;418;305;531;323
21;21;>;551;308;563;321
22;22;*,*,Filter,*,*;583;304;726;323
23;23;3,.;747;305;769;323
24;24;Click;791;304;863;323
25;25;the;882;304;923;323
26;26;arrow;942;309;1014;323
27;27;in;1032;304;1057;323
28;28;the;1077;304;1118;323
29;29;column;1137;304;1222;323
30;30;header;48;403;134;422
31;31;and;153;403;194;422
32;32;decide;212;403;299;422
33;33;if;318;403;344;422
34;34;you;362;408;403;427
35;35;want;421;405;478;422
36;36;to;498;405;524;422
37;37;choose;543;403;629;422
38;38;specific;648;403;764;427
39;39;values;781;403;868;422
40;40;or;887;408;914;422
41;41;search,.;933;403;1030;422
42;42;4,.;1052;404;1075;422
43;43;*,*,Choose;1099;403;1214;422
44;44;specific;34;502;149;526
45;45;values,:*,*;167;502;298;521
46;46;Uncheck;318;502;420;521
47;47;*,*,(,Select;439;502;569;526
48;48;All,),*,*;586;502;673;526
49;49;to;693;504;719;521
50;50;clear;738;502;809;521
51;51;all;828;502;868;521
52;52;of;888;503;914;521
53;53;the;933;502;974;521
54;54;check;993;502;1065;521
55;55;boxes,,;1083;502;1165;525
56;56;and;1188;502;1229;521
57;57;then;42;601;97;620
58;58;check;117;601;188;620
59;59;the;207;601;248;620
60;60;boxes;267;601;337;620
61;61;for;357;602;398;620
62;62;the;417;601;458;620
63;63;specific;477;601;593;625
64;64;value(s,);610;601;725;625
65;65;you;746;606;787;625
66;66;want;805;603;862;620
67;67;to;882;603;908;620
68;68;see,.;927;606;979;620
69;69;5,.;1001;602;1024;620
70;70;*,*,Search;1048;601;1162;620
71;71;for;1182;602;1223;620
72;72;values,:*,*;55;700;186;719
73;73;In;207;701;232;719
74;74;the;251;700;292;719
75;75;*,*,Search,*,*;312;700;456;719
76;76;box,,;476;700;528;723
77;77;type;551;702;607;724
78;78;text;626;702;682;719
79;79;or;701;705;727;719
80;80;numbers;746;700;847;719
81;81;that;866;700;922;719
82;82;you;941;705;982;724
83;83;seek,.;1002;700;1068;719
84;84;6,.;1091;701;1113;719
85;85;Click;1135;700;1208;719
86;86;*,*,OK,*,*;440;800;523;818
87;87;to;544;801;570;818
88;88;apply;589;799;660;823
89;89;the;679;799;720;818
90;90;filter,.;739;799;836;818
