;number;text;x1;y1;x2;y2
0;0;1.Confidence;79;255;255;274
1;1;Showing;274;255;376;279
2;2;confidence;394;255;540;274
3;3;will;557;255;614;274
4;4;help;634;255;691;279
5;5;inspire;710;255;810;279
6;6;trust;829;256;900;274
7;7;in;920;255;945;274
8;8;your;964;260;1020;279
9;9;abilities,.;1039;255;1181;274
10;10;2.Patience;48;354;195;373
11;11;Mentoring;213;354;345;378
12;12;can;364;359;404;373
13;13;be;424;354;450;373
14;14;frustrating;469;354;630;378
15;15;at;649;355;674;373
16;16;times,,;694;354;776;376
17;17;but;799;354;839;373
18;18;patience;858;354;975;378
19;19;is;994;354;1019;373
20;20;essential;1038;354;1169;373
21;21;to;1189;355;1215;373
22;22;ensuring;63;453;180;477
23;23;a;199;458;210;472
24;24;positive;228;453;345;477
25;25;outcome,.;363;454;476;472
26;26;3.Subject;499;453;629;477
27;27;matter;647;454;735;472
28;28;knowledge;754;453;885;477
29;29;Knowing;903;453;1005;477
30;30;what;1022;453;1079;472
31;31;you;1098;458;1139;477
32;32;are;1159;458;1200;472
33;33;talking;41;552;142;576
34;34;about;161;552;231;571
35;35;is;251;552;276;571
36;36;essential,,;295;552;438;574
37;37;depending;460;552;592;576
38;38;on;610;557;636;571
39;39;what;654;552;711;571
40;40;subject;731;552;831;576
41;41;you;850;557;891;576
42;42;are;911;557;952;571
43;43;mentoring;969;552;1102;576
44;44;someone;1121;557;1222;571
45;45;in;34;651;59;670
46;46;this;78;651;134;670
47;47;can;153;656;194;670
48;48;very,.;212;656;280;675
49;49;4.Determination;302;651;524;670
50;50;Never;543;652;614;670
51;51;give;632;651;689;675
52;52;up,.;708;656;745;675
53;53;5.Creativity;768;651;944;675
54;54;Sometimes;963;651;1094;670
55;55;you;1113;656;1154;675
56;56;must;1172;652;1229;670
57;57;apply;154;750;225;774
58;58;creative;244;750;360;769
59;59;problem;379;750;481;774
60;60;solving;500;750;601;774
61;61;in;620;750;645;769
62;62;order;664;750;735;769
63;63;to;754;751;780;769
64;64;overcome;799;755;915;769
65;65;difficulties,.;933;750;1121;769
