;number;text;x1;y1;x2;y2
0;0;Follow;27;156;114;175
1;1;the;132;156;173;175
2;2;steps;192;157;262;180
3;3;given;281;156;352;180
4;4;below;372;156;444;175
5;5;1.Open;462;157;547;180
6;6;the;567;156;608;175
7;7;Excel;627;156;697;175
8;8;file;717;156;773;175
9;9;you;791;161;832;180
10;10;want;850;157;907;175
11;11;to;927;157;953;175
12;12;add;972;156;1013;175
13;13;the;1032;156;1073;175
14;14;filter;1092;156;1178;175
15;15;to,.;1197;157;1234;175
16;16;2.Click;33;255;134;274
17;17;on;153;260;179;274
18;18;the;198;255;239;274
19;19;column;258;255;344;274
20;20;header;363;255;449;274
21;21;that;468;255;524;274
22;22;you;543;260;584;279
23;23;want;601;256;659;274
24;24;to;678;256;704;274
25;25;filter,.;724;255;820;274
26;26;3,.;843;256;865;274
27;27;Click;887;255;959;274
28;28;on;978;260;1004;274
29;29;the;1023;255;1064;274
30;30;""",Data,""";1085;256;1167;274
31;31;tab;1188;255;1230;274
32;32;in;55;354;80;373
33;33;the;100;354;141;373
34;34;ribbon;162;354;245;373
35;35;at;265;355;290;373
36;36;the;310;354;351;373
37;37;top;370;355;411;378
38;38;of;429;355;456;373
39;39;the;475;354;516;373
40;40;screen,.;535;359;632;373
41;41;4.Click;654;354;756;373
42;42;on;774;359;800;373
43;43;the;820;354;861;373
44;44;""",Filter,""";881;354;994;373
45;45;button;1015;354;1100;373
46;46;in;1120;354;1145;373
47;47;the;1165;354;1206;373
48;48;""",Sort";57;454;126;472
49;49;&;144;454;157;472
50;50;"Filter,""";176;453;274;472
51;51;group,.;294;456;377;477
52;52;5,.;400;454;422;472
53;53;A;444;454;457;472
54;54;drop,-,down;474;453;606;477
55;55;arrow;625;458;698;472
56;56;will;713;453;770;472
57;57;appear;790;458;876;477
58;58;in;896;453;921;472
59;59;the;940;453;981;472
60;60;column;1000;453;1086;472
61;61;header,.;1105;453;1202;472
62;62;Click;55;552;127;571
63;63;on;145;557;171;571
64;64;it;191;552;216;571
65;65;to;236;553;262;571
66;66;display;280;552;382;576
67;67;the;401;552;442;571
68;68;filter;461;552;547;571
69;69;options,.;565;552;678;576
70;70;6,.;700;553;723;571
71;71;Select;745;552;831;571
72;72;the;851;552;892;571
73;73;criteria;911;552;1027;571
74;74;you;1045;557;1086;576
75;75;want;1104;553;1161;571
76;76;to;1181;553;1207;571
77;77;filter;26;651;112;670
78;78;by;131;651;157;675
79;79;from;176;652;233;670
80;80;the;251;651;292;670
81;81;drop,-,down;310;651;441;675
82;82;list,.;460;651;528;670
83;83;7,.;550;652;573;670
84;84;To;594;652;622;670
85;85;remove;643;656;727;670
86;86;the;746;651;787;670
87;87;filter,,;806;651;903;673
88;88;click;926;651;997;670
89;89;on;1015;656;1041;670
90;90;the;1061;651;1102;670
91;91;""",Filter,""";1122;651;1235;670
92;92;button;41;750;127;769
93;93;in;147;750;172;769
94;94;the;191;750;232;769
95;95;""",Sort";253;751;322;769
96;96;&;340;751;353;769
97;97;"Filter,""";372;750;470;769
98;98;group;490;753;563;774
99;99;again;581;750;652;774
100;100;and;671;750;712;769
101;101;select;732;750;817;769
102;102;""",Clear";838;750;922;769
103;103;Filter;942;750;1027;769
104;104;from;1047;751;1103;769
105;105;[,Column;1124;750;1222;774
106;106;"Name,],""";409;849;493;873
107;107;from;515;850;571;868
108;108;the;589;849;630;868
109;109;drop,-,down;648;849;780;873
110;110;menu,.;798;854;866;868
