text;attention
Sure;6.403748354701324e-12
here;4.935477412128405e-12
are;4.784673624689777e-12
some;4.560246026230007e-12
headings;7.809430936313369e-12
about;4.943281335128587e-12
the;4.328083885088321e-12
big;4.698347474261192e-12
changes;7.1232679451782445e-12
of;4.25377125846528e-12
weapons;8.232875743412007e-12
and;4.3064475718091874e-12
arms;6.086578471422989e-12
in;4.322230356034355e-12
wwil:;1.6071451643419958e-11
-;5.118588228732951e-12
The;4.86171800429865e-12
growth;5.469962396029603e-12
of;4.68930588495262e-12
weapon;5.07610031624017e-12
mass;4.674115648834286e-12
production;6.003300174570926e-12
in;4.128357813123365e-12
ww1.;0.9999999995728508
-The;5.747634306404457e-12
first;4.720578495631471e-12
tanks.;6.930713163844559e-12
-Advancements;6.375931571494472e-11
in;4.403168104116164e-12
automatic;4.682396181302847e-12
fire.;5.321515155314976e-12
-Systematic;6.624327529569354e-12
use;5.062968715156965e-12
of;4.320424781985714e-12
chemical;4.82545388951594e-12
weapons;4.348943197033974e-12
and;4.1473496228419406e-12
their;4.28107129620201e-12
effects;4.560931247412391e-12
on;4.453183579729767e-12
the;4.122505055023015e-12
war.;5.786972150484812e-12
And;4.896185027112613e-12
some;4.7736651880070745e-12
for;4.226872461221487e-12
ww2:;1.101401304732151e-11
-Advancements;7.975443768898244e-12
in;4.339426808294781e-12
aerial;5.139784302438569e-12
combat;4.3893588584797915e-12
and;4.094312653410495e-12
planes.;4.58773745551003e-12
-The;4.9839300358800485e-12
rise;4.251248573220006e-12
of;4.037285865566733e-12
missiles.;4.699750735876383e-12
-The;4.685934213123962e-12
first;4.1385392226611e-12
nuclear;4.3342124559802765e-12
bombs.;4.792464402004345e-12
These;5.046806373233007e-12
are;4.155775250590238e-12
just;4.1779508787448285e-12
some;3.959282275542891e-12
examples.;4.9466898664124865e-12
I;4.233528283171518e-12
hope;4.12703786238119e-12
they;4.021524556250937e-12
help;4.055733611571635e-12
you;4.091989349931627e-12
with;3.9147200540465556e-12
your;3.958816308024873e-12
paper.;4.118572440758718e-12
