;rejected;chosen;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
1;0.3118556105461968;0.2926675288181499;0.164379887876151;0.3602475585962031;0.405415998259843;0.2338101371155886;0.3881212734333442;0.2793250670381378;0.3752842918684161;0.279255371094654;0.2540388036980795;0.2399236085003029;0.3256020563152226;0.2711772107545427;0.238774049389717;0.2413164041278864;0.4108893054943934;0.2386595286766865;0.3028122713987632
2;0.2257529521228828;0.2852717630444898;0.1392590726225907;0.2594125767205466;0.2904031220632063;0.20819527286402;0.2924021904924623;0.2306640728605872;0.2805918797246454;0.2312356575271356;0.2230626344914733;0.2124207167853179;0.2473291414749758;0.227222866894384;0.2158926677517757;0.2124531904614194;0.299402270466471;0.2161163900075659;0.2563662101770317
3;0.2955987570668115;0.2854936675478752;0.1874112163428734;0.3322440697055947;0.3777210814277228;0.2397988224459798;0.3501837302905934;0.2710414702538914;0.3635646486564571;0.2660480931558263;0.2621230490200067;0.2480777637210691;0.2916460590848495;0.2848080747878374;0.2424677521184014;0.2480567736772943;0.3715256614984832;0.244881497810626;0.2929262854012197
4;0.2237040385712351;0.2919978334764812;0.2095676883025155;0.2774075096987568;0.3698940478051728;0.2714367400775124;0.3143400064794019;0.2950624284553845;0.315057889606459;0.289146475191529;0.2410402261785808;0.2801780076896965;0.254120403747074;0.2787749126943821;0.2784027494923682;0.2793955484231284;0.3522718562095464;0.2786712833941808;0.2602586669922074
5;0.2133719978586943;0.2916179045661417;0.1755183335852931;0.2970714785844545;0.3503658495449769;0.2298221441603515;0.3086221947631499;0.2480646678730433;0.3389233817917786;0.2511941316816754;0.2354152399188522;0.2343912785678062;0.2696175396356965;0.2408940080801915;0.2358509410136942;0.2348159963750766;0.3667162749379902;0.2360397177728758;0.2549221538861849
6;0.2707908325657335;0.3203126424728919;0.1789083092562847;0.3468696717315006;0.3766069446860831;0.2695630627523314;0.3758546032728644;0.2669310293557154;0.3808428705233614;0.2705921350314311;0.2736031747340842;0.2567487496484165;0.3137881204544152;0.2770668881084712;0.2603147573390591;0.2613289110990257;0.365261596842206;0.2589373752218232;0.308834251184124
7;0.2751134107422224;0.2924876412861527;0.186297399154605;0.3229038469506649;0.3795024591312896;0.234062844226661;0.3619357064852051;0.2432937635123098;0.3574321868555909;0.2438087519941122;0.2404497073344999;0.231950619804684;0.280638342591943;0.2546827894957439;0.2372388548180201;0.2305703889093956;0.3746073296217361;0.241493613647834;0.2708423246219937
8;0.2888248698850914;0.3283650405662168;0.2131357810845928;0.31514046954455;0.3702003556302707;0.294899987612951;0.3433512659961862;0.3166334895509389;0.3528779771019308;0.3145998253272493;0.3207068538586986;0.2995634852842703;0.3082837021663702;0.3069627109292689;0.2934866520715402;0.2968443211755762;0.3689213823180537;0.2972195542472614;0.3101641203842101
mean;0.26312655866985846;0.2985267527222999;0.18180971102811327;0.31391214769153386;0.36501373231857065;0.24769862640692447;0.3418513714016509;0.26887699861250103;0.3455718907660799;0.26823505512545165;0.2563049611542844;0.2504067787501954;0.2863781706838183;0.2676986827181027;0.250303552999322;0.2505976917811003;0.36369945967360995;0.2515023700973567;0.28214078550571686
std;0.03726014906905037;0.01635177934950588;0.02380185857166093;0.03430532540166719;0.0337430792169215;0.028261117328973722;0.03397153617043636;0.028364655456074476;0.03347144288788759;0.026658577222149777;0.030499769403840696;0.028026305467050466;0.02847724930974301;0.025587768377551955;0.02539001965225301;0.027466818064235794;0.03096228395563628;0.025866970148406502;0.02406286621763004
