number;fix_duration;first_fix_duration;fix_number;fix_duration_n;first_fix_duration_n;fix_number_n;text
0;0.178;0.178;1.0;0.005173621505988903;0.009536054859102113;0.010309278350515464;There
1;0.0;0.0;0.0;0.0;0.0;0.0;is
2;0.2913;0.2913;1.0;0.00846671879041892;0.015605914496946323;0.010309278350515464;a
3;1.4722;0.3882;5.0;0.042789918995038555;0.020797171327547416;0.05154639175257732;continuum
4;0.5339;0.2427;2.0;0.015517957989030762;0.013002250080360015;0.020618556701030927;of
5;0.2268;0.2268;1.0;0.006592007626731929;0.012150433944069432;0.010309278350515464;sorts
6;1.6023;0.4207;5.0;0.046571313140707976;0.022538304939462128;0.05154639175257732;between
7;0.0;0.0;0.0;0.0;0.0;0.0;very
8;0.2102;0.2102;1.0;0.006109523823364424;0.011261116468445303;0.010309278350515464;small
9;1.407;0.6311;3.0;0.040894862128799926;0.033810136076288445;0.030927835051546393;stars
10;0.6306;0.4043;2.0;0.018328571470093275;0.02165970213221901;0.020618556701030927;(Red
11;2.0877;0.2749;7.0;0.06067960459580356;0.014727311689703204;0.07216494845360824;Dwarves)
12;0.0;0.0;0.0;0.0;0.0;0.0;and
13;0.2261;0.2261;1.0;0.0065716619241802865;0.012112932604735884;0.010309278350515464;very
14;2.9272;0.6792;8.0;0.08507991501309392;0.03638701382192222;0.08247422680412371;large
15;1.3914;0.4692;3.0;0.04044144361479191;0.025136612021857928;0.030927835051546393;planets
16;0.0;0.0;0.0;0.0;0.0;0.0;(Gas
17;3.2021;1.019;5.0;0.09306996305801724;0.054591235401264336;0.05154639175257732;Giants).
18;0.0;0.0;0.0;0.0;0.0;0.0;In
19;0.0;0.0;0.0;0.0;0.0;0.0;between
20;0.2588;0.2588;1.0;0.007522096886235551;0.013864780885031609;0.010309278350515464;these
21;0.0;0.0;0.0;0.0;0.0;0.0;two,
22;0.0;0.0;0.0;0.0;0.0;0.0;there
23;0.0;0.0;0.0;0.0;0.0;0.0;are
24;0.2424;0.2424;1.0;0.0070454261407399445;0.012986178077788495;0.010309278350515464;the
25;0.3237;0.3237;1.0;0.009408434165666337;0.017341690774670526;0.010309278350515464;Brown
26;1.3747;0.1941;3.0;0.03995605328248846;0.010398585663773708;0.030927835051546393;Dwarves,
27;0.0;0.0;0.0;0.0;0.0;0.0;also
28;0.2263;0.2263;1.0;0.006577474982052184;0.012123647273116898;0.010309278350515464;known
29;0.0;0.0;0.0;0.0;0.0;0.0;as
30;0.0;0.0;0.0;0.0;0.0;0.0;"""failed"
31;0.3555;0.3555;1.0;0.010332710367298062;0.01904532304725169;0.010309278350515464;"stars""."
32;1.2617;0.3879;3.0;0.03667167558486629;0.020781099324975898;0.030927835051546393;Different
33;0.0;0.0;0.0;0.0;0.0;0.0;parts
34;0.3074;0.3074;1.0;0.00893466994910668;0.016468445301617916;0.010309278350515464;of
35;0.55;0.2427;2.0;0.015985909147718524;0.013002250080360015;0.020618556701030927;the
36;0.5501;0.5501;1.0;0.015988815676654472;0.029470695381977934;0.010309278350515464;fusion
37;0.0;0.0;0.0;0.0;0.0;0.0;chain,
38;0.648;0.3242;2.0;0.01883430750494837;0.01736847744562306;0.020618556701030927;starting
39;0.5012;0.2427;2.0;0.014567523026975495;0.013002250080360015;0.020618556701030927;with
40;0.3074;0.3074;1.0;0.00893466994910668;0.016468445301617916;0.010309278350515464;hydrogen
41;0.0;0.0;0.0;0.0;0.0;0.0;and
42;0.5823;0.3235;2.0;0.016924717994029993;0.017330976106289513;0.020618556701030927;eventually
43;0.0;0.0;0.0;0.0;0.0;0.0;ending
44;0.0;0.0;0.0;0.0;0.0;0.0;with
45;0.0;0.0;0.0;0.0;0.0;0.0;iron,
46;0.6472;0.6472;1.0;0.018811055273460775;0.03467266688096004;0.010309278350515464;take
47;0.6145;0.6145;1.0;0.017860620311405513;0.032920818600664314;0.010309278350515464;different
48;0.3555;0.3555;1.0;0.010332710367298062;0.01904532304725169;0.010309278350515464;amounts
49;0.0;0.0;0.0;0.0;0.0;0.0;of
50;0.0;0.0;0.0;0.0;0.0;0.0;energy
51;0.2913;0.2913;1.0;0.00846671879041892;0.015605914496946323;0.010309278350515464;to
52;0.3721;0.3721;1.0;0.010815194170665567;0.01993464052287582;0.010309278350515464;produce.
53;0.0;0.0;0.0;0.0;0.0;0.0;Brown
54;1.0998;0.5176;3.0;0.03196600523756515;0.027729561770063218;0.030927835051546393;dwarves
55;0.0;0.0;0.0;0.0;0.0;0.0;are
56;0.3882;0.3882;1.0;0.011283145329353327;0.020797171327547416;0.010309278350515464;not
57;0.6145;0.3718;2.0;0.017860620311405513;0.0199185685203043;0.020618556701030927;able
58;0.0;0.0;0.0;0.0;0.0;0.0;to
59;0.6958;0.4209;2.0;0.020223628336331904;0.02254901960784314;0.020618556701030927;complete
60;0.0;0.0;0.0;0.0;0.0;0.0;the
61;0.0;0.0;0.0;0.0;0.0;0.0;entire
62;0.4204;0.4204;1.0;0.012219047646728848;0.022522232936890606;0.010309278350515464;fusion
