;QRM-Llama3.1-8B;Eurus-RM-7b;UltraRM-13b
0;-0.0651789997315255;-0.0146028547683327;-0.0230434808128505
1;-0.0631451566601166;-0.00462442102521;0.0043224749462359
2;-0.0417691678465637;0.0;0.0091746980427196
3;-0.0411081486758319;0.0;0.0126844881972571
4;-0.031704820287446;0.0018390300062784;0.0168686257076409
5;-0.0213677772158069;0.0063954770720117;0.0183678155114745
6;-0.0146920241287043;0.0113529277358169;0.0320896264948519
7;0.0;0.014737787685663;0.0334309010178581
8;0.0001946379889343;0.0221130888599455;0.037028503094513
9;0.0054945054945054;0.0232334396849815;0.0374004205601418
10;0.0070424281520399;0.0341262363823612;0.0496791156490286
11;0.0157564145875643;0.0435730881596818;0.0519377962029317
12;0.0177294363349504;0.0447820659488382;0.0544663601996023
13;0.0185705897124435;0.0480944463878145;0.0581002772362398
14;0.0196078431372549;0.0508784543504582;0.0595826389010388
15;0.0196484391292382;0.0512270849090628;0.064128760367958
16;0.0199085435265388;0.0554066351717735;0.065092521384761
17;0.0306262919824717;0.0607905543680064;0.0676208858874881
18;0.0370371249357295;0.0609766714245609;0.0686726392687574
19;0.0378053989100555;0.0667466748103611;0.0712532863264911
20;0.0461799665941995;0.0702657716936294;0.071562232493445
21;0.0486144399603566;0.0769570454538319;0.0751752378908359
22;0.048835656985607;0.081585986930832;0.0815751882272685
23;0.0495407759869429;0.0874352435422904;0.0818109778861792
24;0.05086863127731;0.089855611370592;0.0834045751839414
25;0.0537491750546354;0.0929991457231985;0.0848431211220355
26;0.059640661925979;0.09478432383797;0.0850995534136961
27;0.0598906445212857;0.1025972061741199;0.0854441404551292
28;0.060715287552226;0.1077743826094555;0.0915463342823151
29;0.0625015944487674;0.1084266169505577;0.0917245893516998
30;0.071442359593117;0.1091719573257819;0.092325572103455
31;0.0714568094171719;0.1100979469306056;0.0933477246698633
32;0.0719592078129254;0.1125737060364529;0.0935759634220988
33;0.0798097740924985;0.1191068651370508;0.0936417923193766
34;0.0846285815393822;0.1196349197144475;0.0985991635606844
35;0.085286354553612;0.1206609298540612;0.0989168035936342
36;0.0911321840594497;0.1212088470317443;0.0990601365594347
37;0.0947293315840031;0.1232082885396769;0.099556303894016
38;0.0957419684578647;0.1265061675613288;0.1046578075899703
39;0.0968515248796947;0.1271108006581176;0.1049909654942743
40;0.0979734326920317;0.1287863157089432;0.1071428571428571
41;0.098356590463537;0.1323296277743532;0.1086369115950884
42;0.0985939941285598;0.136438628856604;0.1096349930464071
43;0.0994785612499296;0.1393249501452376;0.1124871001031991
44;0.1006198560870017;0.1408091955801295;0.1137757551156659
45;0.1054878743570416;0.1408447100784205;0.1153846153846153
46;0.1062575163795252;0.1418565294925152;0.1160868656467727
47;0.1066123927668888;0.1452211886494415;0.1193554445683255
48;0.1067436786798472;0.147987165025796;0.1217781521960497
49;0.1071292932707271;0.1504676665553251;0.1228690236185044
50;0.1071528046028241;0.1527079772940089;0.1264065512768688
51;0.1089670574163817;0.1560536774354455;0.1271273304225461
52;0.1136623639654362;0.1570563086118039;0.1274924926508721
53;0.1156482313412745;0.1577418988598326;0.1296124953146763
54;0.1181182439389783;0.1615209957244635;0.1332808435275002
55;0.1205459279898251;0.1626452838913352;0.1346958384873006
56;0.1208134521813855;0.1646114388640515;0.1364798092157261
57;0.1220104196045295;0.1655249567064687;0.1397686968513334
58;0.1220210978966613;0.1659189547915153;0.1405359264237073
59;0.1235148830694915;0.1696475878635941;0.140555231562962
60;0.1261769147037119;0.1716605927255873;0.1406765286492761
61;0.1280308976470883;0.1719054254320067;0.1430964513818773
62;0.1288979798297277;0.1723193887162878;0.1469760502986569
63;0.1313099299644034;0.1783188954431825;0.1512200866698992
64;0.1338149314345182;0.1793170168412601;0.1531854095075276
65;0.1357242844636584;0.1808481072847729;0.1546350456161237
66;0.1359193158485129;0.1811687617103362;0.1589478061088607
67;0.1368665865215006;0.1832977384996346;0.1596387352559626
68;0.1428571428571428;0.1860526920296694;0.1603939476886447
69;0.1434855999246635;0.1867246249427229;0.1612426431710802
70;0.1436341034829752;0.1895115211042122;0.1643504197435266
71;0.1460845030172488;0.193364593513249;0.1658799922286183
