text;attention
The;0.01125980243407445
safest;0.017143793947578687
way;0.01146436272347778
to;0.01074800723071077
teach;0.012836639991646382
young;0.011388299570796404
children;0.013342231496237977
how;0.010879545314478663
to;0.010435854642758768
swim;0.018142347023451633
is;0.014057254347109062
to;0.012257136542951205
enroll;0.014755962819945689
them;0.012152165593516605
in;0.011317140676523669
formal;0.013592248429211955
swim;0.014325488332015631
lessons;0.020942912613068132
taught;0.012121815746527868
by;0.011170311889075258
a;0.010395961600313093
certified;0.01205685933846695
instructor.;0.01858645254929528
The;0.011879103242580255
instructor;0.013030663687162266
will;0.012764640273535615
have;0.011399608145895978
the;0.01033710739240523
necessary;0.011783414743785636
training;0.012168031789829845
and;0.0111974089067761
experience;0.011200040342882609
to;0.011867085225463049
provide;0.011107922147777852
proper;0.01113174012323642
guidance;0.011955744801697624
and;0.010741953210240856
ensure;0.012307662994383246
your;0.011740046204796096
child's;0.014784541895358858
safety;0.012039389893469596
in;0.01028567504998078
the;0.009846663840931007
water.;0.017294506591946788
Additionally,;0.013961215627132725
it's;0.011899495032919384
important;0.011037540793615812
to;0.011488674328820829
supervise;0.02466649670449447
children;0.013128566126464491
at;0.011549264891926751
all;0.010384288189191909
times;0.012766688597201847
while;0.011827005876566443
they;0.01046104265302217
are;0.010117312158148763
in;0.010037144328028593
the;0.009712416445552
water;0.012014520691237414
and;0.010835318267510698
ensure;0.011216408532822256
that;0.010587345995731353
they;0.010074539733986546
follow;0.010325863264960766
pool;0.011369624264590993
rules;0.010946996630757827
and;0.009984585846097236
regulations.;0.011539097334764372
You;0.01009513848336403
may;0.01041253239640192
also;0.01045944483192963
consider;0.011155061118095584
using;0.01075851823741479
floatation;0.013435583569166687
devices;0.011959019016689406
for;0.011220261045375721
added;0.010665506381579405
safety,;0.011739026259562652
especially;0.010282519046103352
for;0.009952015672313203
very;0.009846041189078763
young;0.010009203473127296
children.;0.009843131606884532
