;rejected;chosen;phi-1_5;roberta-base;bert-large-uncased;Meta-Llama-3-8B-Instruct;roberta-large;Mistral-7B-Instruct-v0.1;bert-base-cased;Eurus-RM-7b;UltraRM-13b;Llama-3.1-8B-Instruct;Llama-2-7b-hf;Mistral-7B-v0.1;Llama-3.1-8B;QRM-Llama3.1-8B;bert-base-uncased;Meta-Llama-3-8B;Llama-2-7b-chat-hf
1;0.3007641226476807;0.348704668502633;0.1766155821260788;0.3721174247184125;0.3962261799991414;0.2573555896966744;0.3858544461452688;0.3159792082396532;0.3959949815800949;0.2998499071995098;0.3034285924569999;0.2557537632043863;0.3685001529814581;0.3013818340892429;0.2562479440702612;0.255559823086614;0.4341638200674561;0.2609136356914288;0.3433212959151869
2;0.2892260011678691;0.27929081155698;0.1502437975499303;0.2709747701747;0.3415138061142936;0.2331890229576249;0.3312391238982211;0.2394810702821706;0.3310574865943568;0.2641123419816922;0.238092634533198;0.2369767803447362;0.2732126978035352;0.2704862610431386;0.2446861111355619;0.2478478939011539;0.3349767440659931;0.2395340418208335;0.2846218889091644
3;0.2810213157974382;0.3289995098769578;0.2077867185199068;0.3148973414608828;0.3853173437661482;0.2615187661368039;0.3735437215067604;0.2898747613028543;0.3948036655401983;0.2935652684007618;0.2706376698992901;0.2585035653148693;0.3246063910502366;0.2995833071521413;0.2540127557715925;0.2559525274556743;0.384887765688263;0.2580500868412472;0.3249573336790076
4;0.2163414804794454;0.3533070210581462;0.2300018943780744;0.3017972016796479;0.3791726810046297;0.2784320464051311;0.3268486523768998;0.3077982204042402;0.2963227109387565;0.3100027597304664;0.2736892702037779;0.2772633515107152;0.2861050888348138;0.2923169046779118;0.2767653946372961;0.2764480371857087;0.3421750461709926;0.2807081360442071;0.2986051172888531
5;0.1186919414617633;0.3288872539605649;0.1751521038789832;0.2824520941447893;0.3420569832844546;0.2389665169653903;0.3198286096154447;0.2418385105757954;0.3281202979592556;0.2422264339151926;0.2369157143815564;0.2377566633326622;0.2467400248153264;0.2305409887491114;0.2354830409604846;0.2406554648756473;0.3635608778215269;0.2348023309727831;0.2312651519309838
6;0.2955209797404374;0.3259072405819533;0.2115468675647636;0.36780934408302;0.4076894980938383;0.2777607153326921;0.397626594716807;0.314234806061117;0.4121012949193446;0.3054070220621309;0.2915096977322349;0.2729046433061016;0.3299191321951403;0.2899525154163174;0.2798072523623858;0.273497327898327;0.4095113648824881;0.2793800022882466;0.3254539590893908
7;0.2475757287384039;0.2582006734736012;0.1849224332706907;0.3076752968870084;0.3591248451197376;0.2368299804012848;0.3460807046050076;0.2729169610928081;0.3520520786274583;0.2657546621793394;0.2250136250358153;0.2402192076870857;0.2739109208029869;0.2635497826275403;0.2413494670542424;0.247220267202903;0.3592266708618601;0.2437671893315544;0.2667623813556135
8;0.379599248633931;0.4865086159105661;0.2921864516724284;0.3587913888970646;0.4752807701504366;0.4083414957070903;0.3623798736840898;0.4224704710021858;0.4086851739151177;0.4467050850513909;0.4378243897534058;0.4046888132157486;0.41857231613619;0.4574976866206958;0.3991710244328059;0.3946522503171783;0.4668188681942576;0.400387663567285;0.4009135569160525
mean;0.2660926023333712;0.33872572436517534;0.203556981120107;0.3220643577556907;0.385797763441585;0.27404926670033647;0.3554252158185624;0.3005742511201031;0.3648922112593228;0.3034529350650605;0.28463894924953476;0.27300834848953814;0.3151958405774609;0.30066366004701245;0.2734403738030788;0.2739791989904008;0.3869151447191047;0.2746928858196982;0.3094875856355316
std;0.07583339507319392;0.06816416898000842;0.04368468740916347;0.039270552946669736;0.04346607909807977;0.057057255450817;0.028882934252163057;0.057813081014963;0.04370715233743152;0.06255988146508937;0.06780351255241418;0.05539733491298354;0.057112518796094275;0.0675999747567985;0.05322485245291927;0.050344390757250404;0.04651127209941224;0.05359634758559448;0.05165626717349745
