text;attention
There;6.51059535437452e-05
are;8.364174756789511e-05
different;6.778759440162707e-05
strategies;7.865398629542346e-05
to;0.0004897482895862911
begin;7.317395170798064e-05
an;0.00013113412089060507
essay.;0.014098707162451384
In;7.966663293717467e-05
general;6.98951209113858e-05
it;6.98866892865114e-05
is;9.05724035017327e-05
common;6.761471201874237e-05
to;0.0007996101292691679
start;7.642309073005494e-05
by;7.487148712360344e-05
creating;7.096935102766443e-05
awareness;8.187788191957334e-05
for;7.676949477641607e-05
the;0.0411114452460803
topic.;0.015549741609204472
Introductions;9.088855240118857e-05
often;7.470421633336086e-05
contain;7.464548803860782e-05
statistics,;0.0008786298836865552
quotes,;0.000747526064928326
personal;6.703526546154372e-05
experiences;7.196729700128129e-05
or;7.012479188477612e-05
open;6.954625672000817e-05
questions.;0.005116319371837133
In;7.045126381880523e-05
the;0.003250170629264162
case;6.201057412703507e-05
of;0.00012344965595715616
your;0.00010448618528475142
main;6.255205144389491e-05
idea;7.91783866567968e-05
one;6.626271867318636e-05
could;7.05420800996674e-05
start;7.339778134500542e-05
with:;0.0001471919904750561
Is;9.880782101132412e-05
it;6.682860989465e-05
only;6.39984420896805e-05
my;7.756014456429846e-05
experience;6.996471855728736e-05
or;6.726821596811804e-05
are;7.368364672143859e-05
people;7.090327587203162e-05
less;7.026354455624409e-05
concentrated?;0.00016648147767314196
As;8.166306733345714e-05
I;7.832748504200638e-05
got;6.502208247379986e-05
out;6.484805249012344e-05
of;0.00010831709433905283
my;6.424880427962749e-05
car;7.573933461019551e-05
today;8.692742412341143e-05
someone;7.235565848523747e-05
almost;7.399955411798746e-05
crashed;8.42872271509399e-05
into;7.854646931246769e-05
me;7.69802643661296e-05
with;8.267815722351333e-05
his;7.911384451104668e-05
bike.;0.008004546914344332
I;8.75153072330247e-05
asked;7.913872060335605e-05
myself;6.225510970767625e-05
how;7.914973328850638e-05
can;6.838110426907078e-05
it;6.517358900326594e-05
be;7.610426475970273e-05
that;8.069201169139596e-05
he;0.0001143695369648993
drove;8.693294235987697e-05
that;9.329584021232934e-05
close;7.818562969657633e-05
to;8.76498350602099e-05
me...;0.9042594178833685
