text;attention
Lots;6.419602085532506e-05
of;6.0186545091306926e-05
literature;9.695695211779227e-05
out;6.276123072558342e-05
these;4.124401549495893e-05
days,;0.0002146900393121938
e.g.:;0.0006510566869531281
Ackerman,;0.00012632723198168335
E.;0.03936904689908123
(2021).;0.00016756590739940288
2034.;0.1444651138994037
Box,;0.00011062285219378562
C.;5.023163479282894e-05
J.;0.07156033196675016
(2021).;0.00015734063445170963
Dark;4.441203912088795e-05
Sky.;8.929590817870076e-05
Divya,;0.0001092657885189057
S.;0.0010365565431789158
B.;0.09200137866477323
(2021).;0.00018564837370894515
Machinehood.;0.0001490165280936454
Gibson,;0.00016318087374474162
W.;0.08814827168052815
(2020).;0.0002688911887069949
Agency.;0.00010950173275296815
Jordan,;9.934949609782076e-05
Z.;0.09063134726074216
(2020).;0.00020029166811764512
The;5.5566881191233185e-05
Last;4.403332124344553e-05
Human.;0.04316895675594452
King,;0.0001038101632222579
S.;0.10635936228179169
(2022).;0.00014360718338353483
Fairy;4.314131768556829e-05
Tale.;9.465064403024077e-05
Martine,;0.00010395076254760852
A.;0.02405203611751773
(2021).;0.00011875382864899532
A;4.5265235395230436e-05
Desolation;5.0804300278343745e-05
Called;3.958001463781688e-05
Peace.;7.716111558706721e-05
Perry,;7.561611379243804e-05
S.;4.434456458939436e-05
D.;0.023047405871595438
(2012).;0.00012998141710971627
Resident;4.791867694924494e-05
Evil:;8.39853437821311e-05
The;5.4529491533976714e-05
Umbrella;4.816120098355818e-05
Conspiracy.;6.420362815149169e-05
Saunders,;8.747219095348807e-05
G.;4.596496788600438e-05
(2022).;0.0002802435807535792
Liberation;4.8817198600962414e-05
Day;5.272129232671227e-05
stories.;9.992833941994919e-05
Stephenson,;0.0001021702121297207
N.;0.00012863142513292478
(2021).;0.00016990128216749423
Termination;5.4524245945788646e-05
Shock.;9.219669548238319e-05
Stross,;0.0001460944651942411
C.;0.10499325060266522
(2022).;0.00015705465693197502
Quantum;4.041557985355267e-05
of;4.762389324317497e-05
Nightmares.;7.060957284628034e-05
Tarrantino,;0.00017566802591688658
Q.;5.295372344620178e-05
(2021);0.00016801394957963707
Once;4.518528556021705e-05
Upon;4.3036573421346084e-05
a;3.935196726011403e-05
Time;3.5963500661013035e-05
in;4.069108264327053e-05
Hollywood.;8.088545669235952e-05
Weir,;8.607297513976506e-05
A.;0.08559942319770704
(2021).;0.000170231983762179
Project;4.0483939943469404e-05
Hail;4.234411923611478e-05
Mary.;6.662533070805368e-05
Winslow,;0.00011369057245149054
D.;0.05582892376260776
(2021).;0.00012713390725456653
City;4.26958294552268e-05
on;4.415718420191585e-05
Fire.;0.022007940936356832
