;number;text;x1;y1;x2;y2;fixations;fix_duration;y;diff_y;line;distance;fix_number;fix_duration_avg;pupil_l;pupil_r;pupil
0;0;Could;63;453;135;472;[1536, 1537];0.5498;462.5;;1;462.75635602746115;2;0.2749;15.0215;14.9928;15.01
1;1;you;154;458;195;477;[];0.0;467.5;5.0;1;403.70804530479;0;;;;
2;2;please;214;453;300;477;[1538, 1562, 1563];0.8408;465.0;2.5;1;299.04249370919575;3;0.2803;16.2228;16.2394;16.23
3;3;refine;322;453;405;472;[1539, 1564];0.4045;462.5;2.5;1;195.98731857907129;2;0.2023;15.5389;14.5889;15.06
4;4;your;424;458;480;477;[1561];0.2266;467.5;5.0;1;126.33233095219289;1;0.2266;17.6948;17.9255;17.81
5;5;task;499;453;555;472;[1540, 1560];0.5342;462.5;5.0;1;61.49722793601675;2;0.2671;14.022;14.2036;14.11
6;6;regarding;577;453;706;477;[1541, 1565];0.6951;465.0;2.5;1;46.33888000000002;2;0.3475;15.9017;15.2382;15.57
7;7;the;724;453;765;472;[];0.0;462.5;2.5;1;136.6654083658861;0;;;;
8;8;question;783;453;900;477;[1542];0.3232;465.0;2.5;1;193.20881616482828;1;0.3232;16.291;14.8677;15.58
9;9;to;919;454;945;472;[1543];0.2266;463.0;2.0;1;327.0141519931736;1;0.2266;18.3174;16.7304;17.52
10;10;which;962;453;1035;472;[1544];0.2427;462.5;0.5;1;369.48689211366406;1;0.2427;17.2575;15.6916;16.47
11;11;regard;1057;453;1140;477;[1545, 1550, 1552];1.1152;465.0;2.5;1;463.8898440835005;3;0.3717;16.4296;16.1998;16.31
12;12;the;1159;453;1200;472;[1553];0.2752;462.5;2.5;1;565.4714721750465;1;0.2752;17.3919;16.5909;16.99
13;13;expression;341;552;487;576;[1546, 1551, 1554, 1558];1.7954;564.0;101.5;2;181.32992495397554;4;0.4489;16.2506;16.321;16.29
14;14;""",best,""";508;552;591;571;[1547, 1557, 1559];1.0024;561.5;2.5;2;145.40639079426464;3;0.3341;13.7548;11.6773;12.72
15;15;should;612;552;698;571;[1555];0.2752;561.5;0.0;2;146.28035303421441;1;0.2752;15.5366;15.9726;15.75
16;16;be;717;552;743;571;[];0.0;561.5;0.0;2;189.4797025641913;0;;;;
17;17;interpreted,?;762;552;938;576;[1548, 1549, 1556];1.3909;564.0;2.5;2;221.06293602459553;3;0.4636;16.8793;16.0982;16.49
